datetime,value
2024-01-01 00:00:00+00:00,5660.42
2024-01-01 01:00:00+00:00,5482.08
2024-01-01 02:00:00+00:00,5220.92
2024-01-01 03:00:00+00:00,5216.5
2024-01-01 04:00:00+00:00,5188.67
2024-01-01 05:00:00+00:00,5247.33
2024-01-01 06:00:00+00:00,5423.58
2024-01-01 07:00:00+00:00,5663.75
2024-01-01 08:00:00+00:00,5868.17
2024-01-01 09:00:00+00:00,5771.08
2024-01-01 10:00:00+00:00,5672.17
2024-01-01 11:00:00+00:00,6502.33
2024-01-01 12:00:00+00:00,6297.58
2024-01-01 13:00:00+00:00,6871.83
2024-01-01 14:00:00+00:00,7252.92
2024-01-01 15:00:00+00:00,7439.67
2024-01-01 16:00:00+00:00,7311.58
2024-01-01 17:00:00+00:00,8249.42
2024-01-01 18:00:00+00:00,9032.67
2024-01-01 19:00:00+00:00,9147.42
2024-01-01 20:00:00+00:00,8816.25
2024-01-01 21:00:00+00:00,8740.92
2024-01-01 22:00:00+00:00,9163.75
2024-01-01 23:00:00+00:00,9665.08
2024-01-02 00:00:00+00:00,9793.25
2024-01-02 01:00:00+00:00,9697
2024-01-02 02:00:00+00:00,9779.75
2024-01-02 03:00:00+00:00,9289.08
2024-01-02 04:00:00+00:00,9438.92
2024-01-02 05:00:00+00:00,10321.83
2024-01-02 06:00:00+00:00,10956.67
2024-01-02 07:00:00+00:00,11423.83
2024-01-02 08:00:00+00:00,11503.17
2024-01-02 09:00:00+00:00,11636.92
2024-01-02 10:00:00+00:00,11804.92
2024-01-02 11:00:00+00:00,12416.25
2024-01-02 12:00:00+00:00,13235.5
2024-01-02 13:00:00+00:00,14117.25
2024-01-02 14:00:00+00:00,14528
2024-01-02 15:00:00+00:00,14334.75
2024-01-02 16:00:00+00:00,14683.92
2024-01-02 17:00:00+00:00,15549.5
2024-01-02 18:00:00+00:00,15871.33
2024-01-02 19:00:00+00:00,16094.17
2024-01-02 20:00:00+00:00,16137.17
2024-01-02 21:00:00+00:00,15948.17
2024-01-02 22:00:00+00:00,14088.25
2024-01-02 23:00:00+00:00,14748.5
2024-01-03 00:00:00+00:00,14474.25
2024-01-03 01:00:00+00:00,14149.92
2024-01-03 02:00:00+00:00,13854.75
2024-01-03 03:00:00+00:00,13685.58
2024-01-03 04:00:00+00:00,13481.75
2024-01-03 05:00:00+00:00,13588.58
2024-01-03 06:00:00+00:00,13558.17
2024-01-03 07:00:00+00:00,13442.17
2024-01-03 08:00:00+00:00,13178.83
2024-01-03 09:00:00+00:00,12691.17
2024-01-03 10:00:00+00:00,12312
2024-01-03 11:00:00+00:00,11116.5
2024-01-03 12:00:00+00:00,11593.92
2024-01-03 13:00:00+00:00,11507.33
2024-01-03 14:00:00+00:00,11060
2024-01-03 15:00:00+00:00,10063.42
2024-01-03 16:00:00+00:00,9264
2024-01-03 17:00:00+00:00,8969.33
2024-01-03 18:00:00+00:00,8878.58
2024-01-03 19:00:00+00:00,9308.33
2024-01-03 20:00:00+00:00,9590
2024-01-03 21:00:00+00:00,9726.75
2024-01-03 22:00:00+00:00,8909.58
2024-01-03 23:00:00+00:00,8288.33
2024-01-04 00:00:00+00:00,7757.58
2024-01-04 01:00:00+00:00,7320.92
2024-01-04 02:00:00+00:00,7107.5
2024-01-04 03:00:00+00:00,6939.58
2024-01-04 04:00:00+00:00,6982.58
2024-01-04 05:00:00+00:00,7066.42
2024-01-04 06:00:00+00:00,6973.75
2024-01-04 07:00:00+00:00,6876.83
2024-01-04 08:00:00+00:00,6450
2024-01-04 09:00:00+00:00,6018.08
2024-01-04 10:00:00+00:00,5538.92
2024-01-04 11:00:00+00:00,5412.5
2024-01-04 12:00:00+00:00,5332.33
2024-01-04 13:00:00+00:00,5283.08
2024-01-04 14:00:00+00:00,4764.92
2024-01-04 15:00:00+00:00,4515.42
2024-01-04 16:00:00+00:00,3927.5
2024-01-04 17:00:00+00:00,3893.25
2024-01-04 18:00:00+00:00,4498
2024-01-04 19:00:00+00:00,4551.92
2024-01-04 20:00:00+00:00,4865.25
2024-01-04 21:00:00+00:00,5265.33
2024-01-04 22:00:00+00:00,4981.83
2024-01-04 23:00:00+00:00,5215.17
2024-01-05 00:00:00+00:00,6480.92
2024-01-05 01:00:00+00:00,6361
2024-01-05 02:00:00+00:00,6285.17
2024-01-05 03:00:00+00:00,7237.58
2024-01-05 04:00:00+00:00,8287.42
2024-01-05 05:00:00+00:00,9307.08
2024-01-05 06:00:00+00:00,10164.58
2024-01-05 07:00:00+00:00,10922.25
2024-01-05 08:00:00+00:00,12050.92
2024-01-05 09:00:00+00:00,12769.42
2024-01-05 10:00:00+00:00,13595
2024-01-05 11:00:00+00:00,15102.25
2024-01-05 12:00:00+00:00,16757.42
2024-01-05 13:00:00+00:00,17362.58
2024-01-05 14:00:00+00:00,17415
2024-01-05 15:00:00+00:00,17359.33
2024-01-05 16:00:00+00:00,17332.08
2024-01-05 17:00:00+00:00,17151.5
2024-01-05 18:00:00+00:00,16557.42
2024-01-05 19:00:00+00:00,15822.17
2024-01-05 20:00:00+00:00,15330.17
2024-01-05 21:00:00+00:00,15434.75
2024-01-05 22:00:00+00:00,15001.17
2024-01-05 23:00:00+00:00,14663.17
2024-01-06 00:00:00+00:00,14642.17
2024-01-06 01:00:00+00:00,14548.92
2024-01-06 02:00:00+00:00,14313.92
2024-01-06 03:00:00+00:00,14113.33
2024-01-06 04:00:00+00:00,13776.33
2024-01-06 05:00:00+00:00,13591.17
2024-01-06 06:00:00+00:00,12957.42
2024-01-06 07:00:00+00:00,12404.67
2024-01-06 08:00:00+00:00,12130
2024-01-06 09:00:00+00:00,11340.58
2024-01-06 10:00:00+00:00,12260.83
2024-01-06 11:00:00+00:00,12139.08
2024-01-06 12:00:00+00:00,11978.08
2024-01-06 13:00:00+00:00,12163.5
2024-01-06 14:00:00+00:00,12519.17
2024-01-06 15:00:00+00:00,12755
2024-01-06 16:00:00+00:00,12145.5
2024-01-06 17:00:00+00:00,11435.17
2024-01-06 18:00:00+00:00,11297.42
2024-01-06 19:00:00+00:00,11742.67
2024-01-06 20:00:00+00:00,11698
2024-01-06 21:00:00+00:00,11502.83
2024-01-06 22:00:00+00:00,11654.33
