datetime,value
2023-01-01 00:00:00+00:00,19.58
2023-01-01 01:00:00+00:00,19.67
2023-01-01 02:00:00+00:00,19.33
2023-01-01 03:00:00+00:00,19.83
2023-01-01 04:00:00+00:00,18.83
2023-01-01 05:00:00+00:00,18.67
2023-01-01 06:00:00+00:00,18.67
2023-01-01 07:00:00+00:00,46.83
2023-01-01 08:00:00+00:00,792.25
2023-01-01 09:00:00+00:00,2488.5
2023-01-01 10:00:00+00:00,3938.42
2023-01-01 11:00:00+00:00,4556.33
2023-01-01 12:00:00+00:00,5196.5
2023-01-01 13:00:00+00:00,5145.25
2023-01-01 14:00:00+00:00,4441.5
2023-01-01 15:00:00+00:00,2554.5
2023-01-01 16:00:00+00:00,655.67
2023-01-01 17:00:00+00:00,14.33
2023-01-01 18:00:00+00:00,2.5
2023-01-01 19:00:00+00:00,1.83
2023-01-01 20:00:00+00:00,2
2023-01-01 21:00:00+00:00,1.67
2023-01-01 22:00:00+00:00,1.67
2023-01-01 23:00:00+00:00,1.33
2023-01-02 00:00:00+00:00,1
2023-01-02 01:00:00+00:00,1
2023-01-02 02:00:00+00:00,1
2023-01-02 03:00:00+00:00,1.08
2023-01-02 04:00:00+00:00,1.08
2023-01-02 05:00:00+00:00,1
2023-01-02 06:00:00+00:00,1.17
2023-01-02 07:00:00+00:00,45.17
2023-01-02 08:00:00+00:00,839.25
2023-01-02 09:00:00+00:00,2350.5
2023-01-02 10:00:00+00:00,3826.42
2023-01-02 11:00:00+00:00,4586.5
2023-01-02 12:00:00+00:00,5085.75
2023-01-02 13:00:00+00:00,4655.58
2023-01-02 14:00:00+00:00,3552.58
2023-01-02 15:00:00+00:00,2472.17
2023-01-02 16:00:00+00:00,765.08
2023-01-02 17:00:00+00:00,16.42
2023-01-02 18:00:00+00:00,0.92
2023-01-02 19:00:00+00:00,0
2023-01-02 20:00:00+00:00,0.08
2023-01-02 21:00:00+00:00,0
2023-01-02 22:00:00+00:00,0.08
2023-01-02 23:00:00+00:00,0
2023-01-03 00:00:00+00:00,0
2023-01-03 01:00:00+00:00,0
2023-01-03 02:00:00+00:00,0
2023-01-03 03:00:00+00:00,0
2023-01-03 04:00:00+00:00,0
2023-01-03 05:00:00+00:00,0.08
2023-01-03 06:00:00+00:00,0
2023-01-03 07:00:00+00:00,40.58
2023-01-03 08:00:00+00:00,1423.75
2023-01-03 09:00:00+00:00,4541.75
2023-01-03 10:00:00+00:00,6452.92
2023-01-03 11:00:00+00:00,6970.58
2023-01-03 12:00:00+00:00,7228.5
2023-01-03 13:00:00+00:00,7457.5
2023-01-03 14:00:00+00:00,7657.25
2023-01-03 15:00:00+00:00,5586.17
2023-01-03 16:00:00+00:00,1496
2023-01-03 17:00:00+00:00,72.67
2023-01-03 18:00:00+00:00,51.92
2023-01-03 19:00:00+00:00,50.83
2023-01-03 20:00:00+00:00,50.92
2023-01-03 21:00:00+00:00,50.75
2023-01-03 22:00:00+00:00,45.25
2023-01-03 23:00:00+00:00,43.83
2023-01-04 00:00:00+00:00,43.67
2023-01-04 01:00:00+00:00,37.33
2023-01-04 02:00:00+00:00,36
2023-01-04 03:00:00+00:00,36
2023-01-04 04:00:00+00:00,36
2023-01-04 05:00:00+00:00,36
2023-01-04 06:00:00+00:00,32.83
2023-01-04 07:00:00+00:00,70.58
2023-01-04 08:00:00+00:00,1795.42
2023-01-04 09:00:00+00:00,5219.5
2023-01-04 10:00:00+00:00,6811.25
2023-01-04 11:00:00+00:00,7365.33
2023-01-04 12:00:00+00:00,7823.33
2023-01-04 13:00:00+00:00,8214.17
2023-01-04 14:00:00+00:00,8222.75
2023-01-04 15:00:00+00:00,6032.83
2023-01-04 16:00:00+00:00,1603.67
2023-01-04 17:00:00+00:00,51.75
2023-01-04 18:00:00+00:00,33.58
2023-01-04 19:00:00+00:00,32.92
2023-01-04 20:00:00+00:00,32.92
2023-01-04 21:00:00+00:00,32.92
2023-01-04 22:00:00+00:00,33
2023-01-04 23:00:00+00:00,32.83
2023-01-05 00:00:00+00:00,32.83
2023-01-05 01:00:00+00:00,32.83
2023-01-05 02:00:00+00:00,32.42
2023-01-05 03:00:00+00:00,32.58
2023-01-05 04:00:00+00:00,32.33
2023-01-05 05:00:00+00:00,32.67
2023-01-05 06:00:00+00:00,32.83
2023-01-05 07:00:00+00:00,88
2023-01-05 08:00:00+00:00,1833.25
2023-01-05 09:00:00+00:00,5388.83
2023-01-05 10:00:00+00:00,7186.92
2023-01-05 11:00:00+00:00,7750.17
2023-01-05 12:00:00+00:00,7959.83
2023-01-05 13:00:00+00:00,8050.42
2023-01-05 14:00:00+00:00,7631.92
2023-01-05 15:00:00+00:00,5575.42
2023-01-05 16:00:00+00:00,1614.58
2023-01-05 17:00:00+00:00,84.5
2023-01-05 18:00:00+00:00,61.42
2023-01-05 19:00:00+00:00,58.42
2023-01-05 20:00:00+00:00,22.92
2023-01-05 21:00:00+00:00,22.75
2023-01-05 22:00:00+00:00,22.83
2023-01-05 23:00:00+00:00,22.92
2023-01-06 00:00:00+00:00,22.58
2023-01-06 01:00:00+00:00,22.67
2023-01-06 02:00:00+00:00,22.25
2023-01-06 03:00:00+00:00,22.75
2023-01-06 04:00:00+00:00,22.75
2023-01-06 05:00:00+00:00,22.67
2023-01-06 06:00:00+00:00,22.75
2023-01-06 07:00:00+00:00,89.67
2023-01-06 08:00:00+00:00,1795.92
2023-01-06 09:00:00+00:00,5034.83
2023-01-06 10:00:00+00:00,6582.92
2023-01-06 11:00:00+00:00,7221.33
2023-01-06 12:00:00+00:00,7389.67
2023-01-06 13:00:00+00:00,7345.92
2023-01-06 14:00:00+00:00,6969.92
2023-01-06 15:00:00+00:00,5071.83
2023-01-06 16:00:00+00:00,1453.42
2023-01-06 17:00:00+00:00,44
2023-01-06 18:00:00+00:00,22.17
2023-01-06 19:00:00+00:00,22
2023-01-06 20:00:00+00:00,22
2023-01-06 21:00:00+00:00,21.92
2023-01-06 22:00:00+00:00,21.08
2023-01-06 23:00:00+00:00,21
2023-01-07 00:00:00+00:00,21
2023-01-07 01:00:00+00:00,20.75
2023-01-07 02:00:00+00:00,19.58
2023-01-07 03:00:00+00:00,19.25
2023-01-07 04:00:00+00:00,19.92
2023-01-07 05:00:00+00:00,19.92
2023-01-07 06:00:00+00:00,20
2023-01-07 07:00:00+00:00,84.25
2023-01-07 08:00:00+00:00,1325
2023-01-07 09:00:00+00:00,3468.67
2023-01-07 10:00:00+00:00,4851.08
2023-01-07 11:00:00+00:00,5412.83
2023-01-07 12:00:00+00:00,5308.75
2023-01-07 13:00:00+00:00,4939.67
2023-01-07 14:00:00+00:00,4020.17
2023-01-07 15:00:00+00:00,2322.25
2023-01-07 16:00:00+00:00,554.42
2023-01-07 17:00:00+00:00,52.92
2023-01-07 18:00:00+00:00,45.58
2023-01-07 19:00:00+00:00,45.5
2023-01-07 20:00:00+00:00,45.5
2023-01-07 21:00:00+00:00,45.08
2023-01-07 22:00:00+00:00,45
2023-01-07 23:00:00+00:00,45
2023-01-08 00:00:00+00:00,45
2023-01-08 01:00:00+00:00,45
2023-01-08 02:00:00+00:00,45
2023-01-08 03:00:00+00:00,45
2023-01-08 04:00:00+00:00,45
2023-01-08 05:00:00+00:00,45
2023-01-08 06:00:00+00:00,45
2023-01-08 07:00:00+00:00,70.25
2023-01-08 08:00:00+00:00,405.67
2023-01-08 09:00:00+00:00,1032.58
2023-01-08 10:00:00+00:00,1852.83
2023-01-08 11:00:00+00:00,2463.33
2023-01-08 12:00:00+00:00,2955.67
2023-01-08 13:00:00+00:00,2759.67
2023-01-08 14:00:00+00:00,2041.5
2023-01-08 15:00:00+00:00,1321.5
2023-01-08 16:00:00+00:00,402.67
2023-01-08 17:00:00+00:00,53.25
2023-01-08 18:00:00+00:00,45.75
2023-01-08 19:00:00+00:00,45.67
2023-01-08 20:00:00+00:00,45.92
2023-01-08 21:00:00+00:00,45.75
2023-01-08 22:00:00+00:00,45.75
2023-01-08 23:00:00+00:00,45.5
2023-01-09 00:00:00+00:00,45.42
2023-01-09 01:00:00+00:00,45.5
2023-01-09 02:00:00+00:00,45.67
2023-01-09 03:00:00+00:00,45.58
2023-01-09 04:00:00+00:00,45.42
2023-01-09 05:00:00+00:00,45.58
2023-01-09 06:00:00+00:00,45.67
