snapshot,q2qNo,q2qv1,q2qv2,q2qv3
2023-01-01 00:00:00,6670.48,8032.32,8428.81,11045.14
2023-01-01 01:00:00,6657.34,7953.52,8354.64,10947.96
2023-01-01 02:00:00,6705.08,7974.51,8390.86,10995.41
2023-01-01 03:00:00,6543.32,7879.12,8273.27,10841.33
2023-01-01 04:00:00,6531.14,7776.22,8143.27,10670.97
2023-01-01 05:00:00,7180.53,8216.16,8583.5,11247.85
2023-01-01 06:00:00,8295.98,9011.02,9356.57,12260.88
2023-01-01 07:00:00,9562.36,9902.49,10130.27,13274.75
2023-01-01 08:00:00,10672.99,10669.31,10685.54,14002.37
2023-01-01 09:00:00,11231.92,11327.98,11003.98,14419.65
2023-01-01 10:00:00,9619.4,9715.13,10026.95,13139.35
2023-01-01 11:00:00,8094.0,8588.15,8996.09,11788.51
2023-01-01 12:00:00,8098.26,8805.05,9204.05,12061.02
2023-01-01 13:00:00,7715.19,8849.45,9298.78,12185.16
2023-01-01 14:00:00,7499.95,8594.62,9027.45,11829.6
2023-01-01 15:00:00,8211.14,8896.28,9273.88,12152.52
2023-01-01 16:00:00,9028.07,9467.57,9910.69,12987.01
2023-01-01 17:00:00,9788.8,10175.33,10685.45,14002.25
2023-01-01 18:00:00,10169.92,10349.63,10924.15,14315.05
2023-01-01 19:00:00,10405.57,10606.35,11151.57,14613.06
2023-01-01 20:00:00,10299.4,10771.76,11323.81,14838.76
2023-01-01 21:00:00,10122.62,10768.14,11341.76,14862.28
2023-01-01 22:00:00,7056.27,8727.73,9168.58,12014.53
2023-01-01 23:00:00,7691.27,9356.2,9815.48,12862.24
2023-01-02 00:00:00,7544.31,9257.75,9736.22,12758.38
2023-01-02 01:00:00,6700.11,8629.75,9044.82,11852.37
2023-01-02 02:00:00,5436.52,7623.62,7958.08,10428.3
2023-01-02 03:00:00,4413.44,6847.8,7119.21,9329.04
2023-01-02 04:00:00,3727.84,6232.71,6482.55,8494.77
2023-01-02 05:00:00,2979.17,5508.74,5710.54,7483.12
2023-01-02 06:00:00,2289.04,4597.22,4769.69,6250.22
2023-01-02 07:00:00,1606.44,3599.56,3725.82,4882.33
2023-01-02 08:00:00,1089.94,2619.07,2720.95,3565.55
2023-01-02 09:00:00,631.34,1512.39,1570.8,2058.38
2023-01-02 10:00:00,368.1,822.82,854.25,1119.42
2023-01-02 11:00:00,257.35,625.95,650.58,852.52
2023-01-02 12:00:00,265.01,604.19,627.94,822.85
2023-01-02 13:00:00,250.97,596.28,619.76,812.14
2023-01-02 14:00:00,250.32,620.99,645.74,846.18
2023-01-02 15:00:00,276.24,763.34,793.46,1039.76
2023-01-02 16:00:00,291.71,828.03,863.42,1131.43
2023-01-02 17:00:00,441.55,1284.9,1336.61,1751.51
2023-01-02 18:00:00,536.57,1472.59,1534.29,2010.54
2023-01-02 19:00:00,558.16,1414.83,1473.4,1930.75
2023-01-02 20:00:00,554.0,1329.02,1381.0,1809.66
2023-01-02 21:00:00,573.42,1363.31,1414.64,1853.74
2023-01-02 22:00:00,728.22,1545.82,1609.96,2109.69
2023-01-02 23:00:00,710.16,1492.71,1559.01,2042.94
2023-01-03 00:00:00,759.26,1546.0,1604.0,2101.89
2023-01-03 01:00:00,913.6,1772.9,1840.41,2411.68
2023-01-03 02:00:00,1077.1,1955.38,2034.84,2666.46
2023-01-03 03:00:00,1092.52,1994.95,2073.06,2716.55
2023-01-03 04:00:00,1133.85,2015.46,2097.26,2748.25
2023-01-03 05:00:00,1214.91,2086.82,2183.84,2861.71
2023-01-03 06:00:00,1256.26,2145.49,2238.3,2933.08
2023-01-03 07:00:00,1299.08,2204.75,2307.0,3023.1
2023-01-03 08:00:00,1325.45,2310.89,2418.74,3169.52
2023-01-03 09:00:00,1220.25,2165.22,2266.78,2970.39
2023-01-03 10:00:00,837.18,1343.71,1405.38,1841.62
2023-01-03 11:00:00,744.4,1256.09,1313.45,1721.16
2023-01-03 12:00:00,889.4,1438.61,1503.87,1970.67
2023-01-03 13:00:00,1141.47,1793.69,1883.32,2467.91
2023-01-03 14:00:00,1265.27,2023.79,2125.56,2785.34
2023-01-03 15:00:00,1188.85,1885.53,1976.1,2589.49
2023-01-03 16:00:00,1134.84,1888.66,1966.8,2577.3
2023-01-03 17:00:00,1316.42,2216.35,2314.71,3033.2
2023-01-03 18:00:00,1437.66,2523.33,2637.83,3456.62
2023-01-03 19:00:00,1492.55,2625.08,2742.58,3593.88
2023-01-03 20:00:00,1406.82,2442.72,2558.28,3352.38
2023-01-03 21:00:00,1344.92,2318.92,2424.02,3176.44
2023-01-03 22:00:00,1227.9,2158.76,2261.17,2963.04
2023-01-03 23:00:00,1192.76,2155.54,2249.68,2947.98
2023-01-04 00:00:00,1248.26,2258.81,2352.47,3082.69
2023-01-04 01:00:00,1237.18,2268.0,2370.93,3106.88
2023-01-04 02:00:00,1180.01,2227.99,2324.2,3045.64
2023-01-04 03:00:00,1093.37,2158.65,2246.53,2943.86
2023-01-04 04:00:00,1102.07,2244.55,2333.14,3057.35
2023-01-04 05:00:00,1069.0,2228.25,2311.55,3029.06
2023-01-04 06:00:00,1035.37,2216.57,2302.46,3017.16
2023-01-04 07:00:00,986.64,2108.64,2194.91,2876.22
2023-01-04 08:00:00,971.28,2115.51,2201.87,2885.34
2023-01-04 09:00:00,887.98,1949.85,2027.4,2656.71
2023-01-04 10:00:00,491.56,1102.5,1146.62,1502.54
2023-01-04 11:00:00,361.3,775.53,805.28,1055.24
2023-01-04 12:00:00,428.18,861.2,895.0,1172.81
2023-01-04 13:00:00,464.72,899.39,935.97,1226.5
2023-01-04 14:00:00,422.56,814.76,845.07,1107.39
2023-01-04 15:00:00,354.39,762.65,790.59,1035.99
2023-01-04 16:00:00,306.77,698.17,728.43,954.53
2023-01-04 17:00:00,335.04,830.62,863.81,1131.94
2023-01-04 18:00:00,384.66,1012.81,1053.83,1380.94
2023-01-04 19:00:00,442.12,1148.35,1196.65,1568.1
2023-01-04 20:00:00,509.66,1248.46,1300.98,1704.8
2023-01-04 21:00:00,580.23,1453.98,1511.37,1980.51
2023-01-04 22:00:00,539.16,1355.34,1410.32,1848.09
2023-01-04 23:00:00,535.94,1344.82,1401.2,1836.14
2023-01-05 00:00:00,507.77,1238.58,1289.83,1690.2
2023-01-05 01:00:00,476.03,1070.43,1114.35,1460.24
2023-01-05 02:00:00,470.51,1040.99,1086.83,1424.18
2023-01-05 03:00:00,469.77,1066.48,1112.6,1457.96
2023-01-05 04:00:00,448.96,1042.63,1087.23,1424.71
2023-01-05 05:00:00,391.42,897.86,933.91,1223.8
2023-01-05 06:00:00,391.78,921.08,957.52,1254.73
2023-01-05 07:00:00,362.97,830.68,865.74,1134.47
2023-01-05 08:00:00,339.33,773.61,806.48,1056.82
2023-01-05 09:00:00,272.52,635.27,661.66,867.05
2023-01-05 10:00:00,154.37,310.47,323.54,423.96
2023-01-05 11:00:00,125.98,254.21,265.56,348.0
2023-01-05 12:00:00,105.49,178.27,186.78,244.76
2023-01-05 13:00:00,91.9,163.51,169.96,222.72
2023-01-05 14:00:00,98.68,218.9,229.29,300.46
2023-01-05 15:00:00,111.77,254.14,262.68,344.22
2023-01-05 16:00:00,141.04,363.6,379.13,496.82
2023-01-05 17:00:00,185.71,483.97,504.23,660.75
2023-01-05 18:00:00,196.03,522.8,545.77,715.18
2023-01-05 19:00:00,201.51,523.89,544.19,713.11
2023-01-05 20:00:00,196.44,501.23,521.23,683.02
2023-01-05 21:00:00,236.97,581.98,605.6,793.59
2023-01-05 22:00:00,324.39,751.31,777.81,1019.25
2023-01-05 23:00:00,389.21,859.95,898.26,1177.09
2023-01-06 00:00:00,452.32,933.27,972.89,1274.88
2023-01-06 01:00:00,445.83,920.15,957.33,1254.48
2023-01-06 02:00:00,454.45,933.88,972.42,1274.26
2023-01-06 03:00:00,465.64,988.33,1034.12,1355.12
2023-01-06 04:00:00,570.73,1234.9,1286.19,1685.42
2023-01-06 05:00:00,700.09,1394.68,1450.99,1901.39
2023-01-06 06:00:00,796.12,1462.35,1523.7,1996.66
2023-01-06 07:00:00,846.99,1482.97,1553.62,2035.87
2023-01-06 08:00:00,863.84,1465.28,1536.91,2013.97
2023-01-06 09:00:00,886.82,1331.12,1388.15,1819.03
2023-01-06 10:00:00,999.21,1387.35,1457.04,1909.31
2023-01-06 11:00:00,862.24,1195.77,1251.95,1640.56
2023-01-06 12:00:00,1097.77,1383.37,1446.7,1895.76
2023-01-06 13:00:00,1414.99,1666.94,1740.59,2280.88
2023-01-06 14:00:00,1660.82,1869.44,1960.52,2569.07
2023-01-06 15:00:00,1878.83,2079.98,2158.08,2827.96
2023-01-06 16:00:00,2125.05,2424.64,2498.46,3273.98
2023-01-06 17:00:00,2582.78,3313.14,3329.12,4362.49
2023-01-06 18:00:00,3033.23,3963.01,3929.63,5149.4
2023-01-06 19:00:00,3353.61,4288.2,4230.48,5543.63
2023-01-06 20:00:00,3651.95,4625.07,4562.68,5978.95
2023-01-06 21:00:00,4059.62,5151.33,5105.72,6690.55
2023-01-06 22:00:00,5185.53,6372.87,6276.08,8224.19
2023-01-06 23:00:00,5553.47,6792.68,6592.66,8639.05
2023-01-07 00:00:00,6035.15,7364.83,7082.77,9281.29
2023-01-07 01:00:00,6327.81,7684.19,7380.85,9671.89
2023-01-07 02:00:00,6785.38,8163.65,7843.85,10278.61
2023-01-07 03:00:00,7138.87,8497.66,8166.11,10700.9
2023-01-07 04:00:00,7617.18,8958.92,8635.53,11316.03
2023-01-07 05:00:00,8130.22,9446.91,9119.25,11949.89
2023-01-07 06:00:00,8695.79,9935.53,9567.82,12537.7
2023-01-07 07:00:00,9235.95,10343.23,10001.85,13106.45
2023-01-07 08:00:00,9971.74,10707.77,10461.46,13708.73
2023-01-07 09:00:00,10385.0,10734.11,10601.49,13892.22
2023-01-07 10:00:00,8705.97,9055.3,9228.81,12093.47
2023-01-07 11:00:00,9310.08,9669.41,9647.88,12642.61
