snapshot,q2qNo,q2qv1,q2qv2,q2qv3
2023-01-01 00:00:00,0.0,237.1,282.93,348.28
2023-01-01 01:00:00,0.0,237.1,282.93,348.28
2023-01-01 02:00:00,0.0,237.1,282.93,348.28
2023-01-01 03:00:00,0.0,237.1,282.93,348.28
2023-01-01 04:00:00,0.0,237.1,282.93,348.28
2023-01-01 05:00:00,0.0,237.1,282.93,348.28
2023-01-01 06:00:00,0.0,237.1,282.93,348.28
2023-01-01 07:00:00,0.0,237.1,282.93,348.28
2023-01-01 08:00:00,3886.78,2479.5,2390.77,2942.96
2023-01-01 09:00:00,7631.55,5829.68,5665.73,6974.32
2023-01-01 10:00:00,8768.03,6667.12,6465.93,7959.33
2023-01-01 11:00:00,9666.37,7390.69,7139.83,8788.88
2023-01-01 12:00:00,8567.37,6416.08,6035.84,7429.91
2023-01-01 13:00:00,9042.78,6819.38,6502.47,8004.31
2023-01-01 14:00:00,8589.53,6415.34,6122.49,7536.57
2023-01-01 15:00:00,6408.4,4391.19,4165.39,5127.45
2023-01-01 16:00:00,2546.03,1511.4,1517.67,1868.21
2023-01-01 17:00:00,0.0,237.1,282.93,348.28
2023-01-01 18:00:00,0.0,237.1,282.93,348.28
2023-01-01 19:00:00,0.0,237.1,282.93,348.28
2023-01-01 20:00:00,0.0,237.1,282.93,348.28
2023-01-01 21:00:00,0.0,237.1,282.93,348.28
2023-01-01 22:00:00,0.0,237.1,282.93,348.28
2023-01-01 23:00:00,0.0,237.1,282.93,348.28
2023-01-02 00:00:00,0.0,237.1,282.93,348.28
2023-01-02 01:00:00,0.0,237.1,282.93,348.28
2023-01-02 02:00:00,0.0,237.1,282.93,348.28
2023-01-02 03:00:00,0.0,237.1,282.93,348.28
2023-01-02 04:00:00,0.0,237.1,282.93,348.28
2023-01-02 05:00:00,0.0,237.1,282.93,348.28
2023-01-02 06:00:00,0.0,237.1,282.93,348.28
2023-01-02 07:00:00,0.0,237.1,282.93,348.28
2023-01-02 08:00:00,2869.41,1759.61,1761.4,2168.22
2023-01-02 09:00:00,6916.89,5090.98,4916.96,6052.6
2023-01-02 10:00:00,7955.73,5922.05,5723.39,7045.29
2023-01-02 11:00:00,7932.66,5833.66,5578.83,6867.34
2023-01-02 12:00:00,6877.51,4863.26,4534.24,5581.5
2023-01-02 13:00:00,6753.1,4701.5,4450.03,5477.83
2023-01-02 14:00:00,6125.94,4174.03,3955.5,4869.08
2023-01-02 15:00:00,5102.92,3328.57,3190.05,3926.84
2023-01-02 16:00:00,2303.01,1388.26,1397.45,1720.21
2023-01-02 17:00:00,0.0,237.11,282.93,348.28
2023-01-02 18:00:00,0.0,237.11,282.93,348.28
2023-01-02 19:00:00,0.0,237.11,282.93,348.28
2023-01-02 20:00:00,0.0,237.11,282.93,348.28
2023-01-02 21:00:00,0.0,237.11,282.93,348.28
2023-01-02 22:00:00,0.0,237.11,282.93,348.28
2023-01-02 23:00:00,0.0,237.11,282.93,348.28
2023-01-03 00:00:00,0.0,237.11,282.93,348.28
2023-01-03 01:00:00,0.0,237.11,282.93,348.28
2023-01-03 02:00:00,0.0,237.11,282.93,348.28
2023-01-03 03:00:00,0.0,237.11,282.93,348.28
2023-01-03 04:00:00,0.0,237.11,282.93,348.28
2023-01-03 05:00:00,0.0,237.11,282.93,348.28
2023-01-03 06:00:00,0.0,237.11,282.93,348.28
2023-01-03 07:00:00,0.0,237.11,282.93,348.28
2023-01-03 08:00:00,3890.36,2425.5,2341.62,2882.45
2023-01-03 09:00:00,11478.74,9025.31,8793.01,10823.88
2023-01-03 10:00:00,12714.55,10181.99,9881.96,12164.33
2023-01-03 11:00:00,12112.47,9637.29,9344.06,11502.19
2023-01-03 12:00:00,9748.07,7484.73,7124.57,8770.09
2023-01-03 13:00:00,10318.09,8051.07,7683.22,9457.77
2023-01-03 14:00:00,11164.77,8822.65,8527.49,10497.03
2023-01-03 15:00:00,9791.72,7551.68,7151.28,8802.97
2023-01-03 16:00:00,4780.47,3036.86,2921.95,3596.82
2023-01-03 17:00:00,0.0,237.11,282.93,348.28
2023-01-03 18:00:00,0.0,237.11,282.93,348.28
2023-01-03 19:00:00,0.0,237.11,282.93,348.28
2023-01-03 20:00:00,0.0,237.11,282.93,348.28
2023-01-03 21:00:00,0.0,237.11,282.93,348.28
2023-01-03 22:00:00,0.0,237.11,282.93,348.28
2023-01-03 23:00:00,0.0,237.11,282.93,348.28
2023-01-04 00:00:00,0.0,237.11,282.93,348.28
2023-01-04 01:00:00,0.0,237.11,282.93,348.28
2023-01-04 02:00:00,0.0,237.11,282.93,348.28
2023-01-04 03:00:00,0.0,237.11,282.93,348.28
