snapshot,q2qNo,q2qv1,q2qv2,q2qv3
2023-01-01 00:00:00,0.0,484.9,583.12,712.23
2023-01-01 01:00:00,0.0,484.9,583.12,712.23
2023-01-01 02:00:00,0.0,484.9,583.12,712.22
2023-01-01 03:00:00,0.0,484.9,583.12,712.22
2023-01-01 04:00:00,0.0,484.9,583.12,712.22
2023-01-01 05:00:00,0.0,484.9,583.12,712.22
2023-01-01 06:00:00,0.0,484.9,583.12,712.22
2023-01-01 07:00:00,0.0,484.9,583.12,712.22
2023-01-01 08:00:00,1524.4,2574.58,2777.78,3392.86
2023-01-01 09:00:00,5855.39,6346.03,6620.74,8086.8
2023-01-01 10:00:00,8295.14,8239.87,8650.09,10565.53
2023-01-01 11:00:00,10578.12,9984.78,10366.21,12661.65
2023-01-01 12:00:00,11924.9,10928.96,11422.26,13951.56
2023-01-01 13:00:00,11250.83,10500.27,10937.19,13359.07
2023-01-01 14:00:00,8730.95,8615.33,9171.39,11202.25
2023-01-01 15:00:00,5503.18,6179.29,6557.15,8009.12
2023-01-01 16:00:00,1642.31,2708.84,2883.46,3521.94
2023-01-01 17:00:00,0.0,484.9,583.12,712.23
2023-01-01 18:00:00,0.0,484.9,583.12,712.23
2023-01-01 19:00:00,0.0,484.9,583.12,712.23
2023-01-01 20:00:00,0.0,484.9,583.12,712.23
2023-01-01 21:00:00,0.0,484.9,583.12,712.23
2023-01-01 22:00:00,0.0,484.9,583.12,712.23
2023-01-01 23:00:00,0.0,484.9,583.12,712.23
2023-01-02 00:00:00,0.0,484.9,583.12,712.22
2023-01-02 01:00:00,0.0,484.9,583.12,712.22
2023-01-02 02:00:00,0.0,484.9,583.12,712.22
2023-01-02 03:00:00,0.0,484.9,583.12,712.23
2023-01-02 04:00:00,0.0,484.9,583.12,712.23
2023-01-02 05:00:00,0.0,484.9,583.12,712.22
2023-01-02 06:00:00,0.0,484.9,583.12,712.23
2023-01-02 07:00:00,0.0,484.9,583.12,712.24
2023-01-02 08:00:00,1128.12,2122.37,2319.57,2833.2
2023-01-02 09:00:00,5153.45,5787.92,6168.42,7534.33
2023-01-02 10:00:00,7433.04,7634.57,8021.02,9797.16
2023-01-02 11:00:00,8473.22,8403.88,8848.15,10807.45
2023-01-02 12:00:00,8667.5,8577.03,9053.3,11058.03
2023-01-02 13:00:00,7963.63,8082.31,8500.17,10382.41
2023-01-02 14:00:00,6321.48,6803.29,7087.6,8657.04
2023-01-02 15:00:00,4557.06,5357.23,5723.85,6991.31
2023-01-02 16:00:00,1530.0,2573.62,2785.2,3401.94
2023-01-02 17:00:00,0.0,484.9,583.13,712.25
2023-01-02 18:00:00,0.0,484.9,583.13,712.25
2023-01-02 19:00:00,0.0,484.9,583.13,712.25
2023-01-02 20:00:00,0.0,484.9,583.13,712.25
2023-01-02 21:00:00,0.0,484.9,583.13,712.25
2023-01-02 22:00:00,0.0,484.9,583.13,712.25
2023-01-02 23:00:00,0.0,484.9,583.13,712.25
2023-01-03 00:00:00,0.0,484.9,583.13,712.24
2023-01-03 01:00:00,0.0,484.9,583.13,712.24
2023-01-03 02:00:00,0.0,484.9,583.13,712.24
2023-01-03 03:00:00,0.0,484.9,583.13,712.24
2023-01-03 04:00:00,0.0,484.9,583.13,712.24
2023-01-03 05:00:00,0.0,484.9,583.13,712.25
2023-01-03 06:00:00,0.0,484.9,583.13,712.25
2023-01-03 07:00:00,0.0,484.9,583.13,712.25
2023-01-03 08:00:00,1498.5,2549.97,2760.72,3372.05
2023-01-03 09:00:00,7981.7,8133.64,8493.07,10373.75
2023-01-03 10:00:00,11477.22,10657.59,11148.56,13617.26
2023-01-03 11:00:00,13110.66,11838.62,12325.87,15055.28
2023-01-03 12:00:00,13632.97,12203.92,12722.82,15540.13
2023-01-03 13:00:00,13229.94,11885.0,12453.49,15211.16
2023-01-03 14:00:00,11398.85,10629.11,11155.57,13625.83
2023-01-03 15:00:00,8120.06,8224.48,8559.39,10454.76
2023-01-03 16:00:00,2894.95,3937.34,4154.34,5074.26
2023-01-03 17:00:00,0.0,484.9,583.13,712.25
2023-01-03 18:00:00,0.0,484.9,583.13,712.25
2023-01-03 19:00:00,0.0,484.9,583.13,712.25
2023-01-03 20:00:00,0.0,484.9,583.13,712.25
2023-01-03 21:00:00,0.0,484.9,583.13,712.25
2023-01-03 22:00:00,0.0,484.9,583.13,712.25
2023-01-03 23:00:00,0.0,484.9,583.13,712.25
2023-01-04 00:00:00,0.0,484.9,583.13,712.25
2023-01-04 01:00:00,0.0,484.9,583.13,712.25
2023-01-04 02:00:00,0.0,484.9,583.13,712.25
2023-01-04 03:00:00,0.0,484.9,583.13,712.25
2023-01-04 04:00:00,0.0,484.9,583.13,712.25
2023-01-04 05:00:00,0.0,484.9,583.13,712.25
2023-01-04 06:00:00,0.0,484.9,583.13,712.25
2023-01-04 07:00:00,0.0,484.9,583.13,712.25
2023-01-04 08:00:00,1524.31,2586.53,2794.25,3413.0
2023-01-04 09:00:00,8919.23,8824.21,9221.63,11263.64
2023-01-04 10:00:00,12418.05,11311.97,11848.62,14472.35
2023-01-04 11:00:00,13973.91,12451.33,12951.01,15818.85
2023-01-04 12:00:00,14481.67,12821.57,13320.93,16270.69
2023-01-04 13:00:00,13945.33,12383.16,12940.25,15805.71
2023-01-04 14:00:00,11989.26,11014.58,11580.36,14144.68
2023-01-04 15:00:00,8370.91,8462.72,8709.64,10638.28
