snapshot,q2qNo,q2qv1,q2qv2,q2qv3
2023-01-01 00:00:00,6785.54,7455.16,7479.16,10703.21
2023-01-01 01:00:00,6680.12,7290.14,7310.02,10461.15
2023-01-01 02:00:00,6672.74,7310.15,7345.71,10512.24
2023-01-01 03:00:00,6508.71,7273.56,7310.07,10461.23
2023-01-01 04:00:00,6475.45,7296.67,7332.37,10493.15
2023-01-01 05:00:00,7052.02,7703.45,7738.82,11074.81
2023-01-01 06:00:00,8146.89,8512.29,8534.28,12213.17
2023-01-01 07:00:00,9494.88,9436.15,9364.06,13400.64
2023-01-01 08:00:00,10611.57,10100.52,9902.78,14171.59
2023-01-01 09:00:00,11121.56,10491.08,10110.08,14468.25
2023-01-01 10:00:00,9453.98,9363.56,9222.56,13198.14
2023-01-01 11:00:00,8017.7,8206.61,8228.91,11776.16
2023-01-01 12:00:00,7934.08,8352.33,8374.67,11984.75
2023-01-01 13:00:00,7711.85,8478.02,8506.64,12173.62
2023-01-01 14:00:00,7487.55,8263.09,8284.36,11855.51
2023-01-01 15:00:00,8180.76,8684.55,8589.31,12291.92
2023-01-01 16:00:00,8998.63,9210.2,9234.74,13215.57
2023-01-01 17:00:00,9735.71,9777.82,9810.6,14039.66
2023-01-01 18:00:00,10116.01,10010.68,10040.55,14368.74
2023-01-01 19:00:00,10351.64,10227.47,10269.79,14696.79
2023-01-01 20:00:00,10205.59,10323.17,10357.75,14822.67
2023-01-01 21:00:00,10045.1,10311.02,10348.66,14809.66
2023-01-01 22:00:00,7110.83,8308.33,8345.92,11943.6
2023-01-01 23:00:00,7626.86,8709.64,8753.91,12527.46
2023-01-02 00:00:00,7547.59,8606.36,8651.69,12381.19
2023-01-02 01:00:00,6862.47,7994.32,8036.51,11500.82
2023-01-02 02:00:00,5714.17,7183.52,7215.24,10325.53
2023-01-02 03:00:00,4624.16,6386.92,6411.71,9175.62
2023-01-02 04:00:00,3832.86,5654.28,5676.47,8123.44
2023-01-02 05:00:00,3011.92,4857.68,4876.09,6978.03
2023-01-02 06:00:00,2317.35,4056.65,4071.35,5826.39
2023-01-02 07:00:00,1664.13,3136.58,3148.0,4505.01
2023-01-02 08:00:00,1190.81,2294.55,2303.19,3296.04
2023-01-02 09:00:00,829.82,1579.7,1585.32,2268.71
2023-01-02 10:00:00,550.1,967.21,970.87,1389.39
2023-01-02 11:00:00,417.35,754.4,757.85,1084.54
2023-01-02 12:00:00,350.86,637.79,639.92,915.77
2023-01-02 13:00:00,298.14,603.75,605.65,866.73
2023-01-02 14:00:00,289.26,607.56,609.44,872.15
2023-01-02 15:00:00,312.7,717.69,720.21,1030.68
2023-01-02 16:00:00,361.96,832.33,835.21,1195.25
2023-01-02 17:00:00,578.17,1311.19,1315.87,1883.1
2023-01-02 18:00:00,716.62,1541.42,1546.49,2213.13
2023-01-02 19:00:00,790.5,1573.61,1580.53,2261.85
2023-01-02 20:00:00,809.35,1512.69,1517.39,2171.5
2023-01-02 21:00:00,843.96,1553.96,1558.64,2230.53
2023-01-02 22:00:00,1082.98,1800.85,1808.05,2587.44
2023-01-02 23:00:00,1093.07,1778.6,1786.18,2556.16
2023-01-03 00:00:00,1107.17,1722.67,1730.57,2476.57
2023-01-03 01:00:00,1258.23,1919.15,1926.04,2756.3
2023-01-03 02:00:00,1415.05,2116.37,2125.0,3041.03
2023-01-03 03:00:00,1441.32,2155.24,2163.18,3095.67
2023-01-03 04:00:00,1468.04,2139.84,2149.48,3076.06
2023-01-03 05:00:00,1565.32,2247.94,2257.56,3230.74
2023-01-03 06:00:00,1625.88,2359.3,2369.0,3390.21
2023-01-03 07:00:00,1655.1,2387.64,2398.85,3432.93
2023-01-03 08:00:00,1666.33,2423.51,2433.49,3482.5
2023-01-03 09:00:00,1557.52,2238.85,2249.2,3218.77
2023-01-03 10:00:00,1146.22,1488.3,1495.99,2140.86
2023-01-03 11:00:00,1057.73,1333.26,1338.68,1915.75
2023-01-03 12:00:00,1243.6,1669.62,1677.05,2399.98
2023-01-03 13:00:00,1482.19,1928.99,1936.46,2771.22
2023-01-03 14:00:00,1573.54,2038.11,2045.74,2927.6
2023-01-03 15:00:00,1504.52,1977.26,1985.64,2841.6
2023-01-03 16:00:00,1502.98,2005.22,2014.35,2882.67
2023-01-03 17:00:00,1755.67,2488.0,2497.77,3574.49
2023-01-03 18:00:00,1812.96,2611.19,2623.28,3754.1
2023-01-03 19:00:00,1793.29,2562.97,2573.86,3683.37
2023-01-03 20:00:00,1692.88,2461.97,2472.31,3538.05
2023-01-03 21:00:00,1619.6,2299.15,2308.61,3303.79
2023-01-03 22:00:00,1569.66,2347.78,2357.77,3374.14
2023-01-03 23:00:00,1519.54,2292.0,2300.57,3292.28
2023-01-04 00:00:00,1555.06,2321.06,2332.57,3338.07
2023-01-04 01:00:00,1519.87,2283.65,2293.37,3281.97
2023-01-04 02:00:00,1468.72,2282.08,2291.76,3279.67
2023-01-04 03:00:00,1360.28,2170.33,2178.72,3117.9
2023-01-04 04:00:00,1379.83,2275.87,2286.7,3272.43
2023-01-04 05:00:00,1340.83,2208.28,2217.04,3172.75
2023-01-04 06:00:00,1301.18,2169.53,2178.51,3117.61
2023-01-04 07:00:00,1262.25,2148.18,2156.15,3085.6
2023-01-04 08:00:00,1230.68,2116.29,2125.87,3042.27
2023-01-04 09:00:00,1115.4,1912.19,1919.17,2746.47
2023-01-04 10:00:00,648.33,1118.27,1123.28,1607.49
2023-01-04 11:00:00,475.07,734.12,736.96,1054.65
2023-01-04 12:00:00,565.47,811.58,813.82,1164.63
2023-01-04 13:00:00,630.39,920.15,923.43,1321.5
2023-01-04 14:00:00,587.62,858.48,861.46,1232.8
2023-01-04 15:00:00,490.41,768.91,771.24,1103.69
2023-01-04 16:00:00,439.16,716.3,718.85,1028.72
2023-01-04 17:00:00,454.96,796.44,799.16,1143.65
2023-01-04 18:00:00,532.13,1035.06,1039.4,1487.45
2023-01-04 19:00:00,592.23,1144.41,1148.01,1642.88
2023-01-04 20:00:00,679.44,1286.73,1291.44,1848.14
2023-01-04 21:00:00,768.91,1453.96,1459.05,2088.0
2023-01-04 22:00:00,740.01,1406.76,1412.44,2021.3
2023-01-04 23:00:00,731.77,1385.28,1389.91,1989.06
2023-01-05 00:00:00,702.5,1320.03,1323.56,1894.11
2023-01-05 01:00:00,674.49,1234.68,1238.89,1772.94
2023-01-05 02:00:00,666.53,1219.67,1223.95,1751.56
2023-01-05 03:00:00,649.51,1198.99,1202.83,1721.34
2023-01-05 04:00:00,612.3,1126.49,1130.61,1617.98
2023-01-05 05:00:00,561.88,1044.13,1047.97,1499.72
2023-01-05 06:00:00,568.52,1087.51,1091.31,1561.74
2023-01-05 07:00:00,556.04,1069.7,1073.08,1535.66
2023-01-05 08:00:00,522.72,984.35,987.53,1413.23
2023-01-05 09:00:00,414.23,763.41,765.81,1095.93
