snapshot,q2qNo,q2qv1,q2qv2,q2qv3
2023-01-01 00:00:00,0.0,229.45,272.91,337.04
2023-01-01 01:00:00,0.0,229.45,272.91,337.04
2023-01-01 02:00:00,0.0,229.45,272.91,337.04
2023-01-01 03:00:00,0.0,229.45,272.91,337.04
2023-01-01 04:00:00,0.0,229.45,272.91,337.04
2023-01-01 05:00:00,0.0,229.45,272.91,337.04
2023-01-01 06:00:00,0.0,229.45,272.91,337.04
2023-01-01 07:00:00,0.0,229.45,272.91,337.04
2023-01-01 08:00:00,3906.68,2480.44,2399.11,2962.85
2023-01-01 09:00:00,7630.93,5825.66,5668.17,7000.04
2023-01-01 10:00:00,8755.52,6632.42,6427.27,7937.52
2023-01-01 11:00:00,9694.7,7369.66,7134.11,8810.44
2023-01-01 12:00:00,8632.06,6431.53,6040.9,7460.36
2023-01-01 13:00:00,9116.96,6844.83,6517.44,8048.87
2023-01-01 14:00:00,8572.32,6343.93,6063.43,7488.18
2023-01-01 15:00:00,6348.08,4289.25,4087.6,5048.08
2023-01-01 16:00:00,2498.1,1482.85,1484.63,1833.48
2023-01-01 17:00:00,0.0,229.45,272.91,337.04
2023-01-01 18:00:00,0.0,229.45,272.91,337.04
2023-01-01 19:00:00,0.0,229.45,272.91,337.04
2023-01-01 20:00:00,0.0,229.45,272.91,337.04
2023-01-01 21:00:00,0.0,229.45,272.91,337.04
2023-01-01 22:00:00,0.0,229.45,272.91,337.04
2023-01-01 23:00:00,0.0,229.45,272.91,337.04
2023-01-02 00:00:00,0.0,229.45,272.91,337.04
2023-01-02 01:00:00,0.0,229.45,272.91,337.04
2023-01-02 02:00:00,0.0,229.45,272.91,337.04
2023-01-02 03:00:00,0.0,229.45,272.91,337.04
2023-01-02 04:00:00,0.0,229.45,272.91,337.04
2023-01-02 05:00:00,0.0,229.45,272.91,337.04
2023-01-02 06:00:00,0.0,229.45,272.91,337.04
2023-01-02 07:00:00,0.0,229.45,272.91,337.05
2023-01-02 08:00:00,2875.05,1763.61,1764.29,2178.85
2023-01-02 09:00:00,6859.26,5012.63,4842.21,5980.01
2023-01-02 10:00:00,7950.15,5869.15,5685.25,7021.14
2023-01-02 11:00:00,7916.79,5764.62,5549.06,6852.95
2023-01-02 12:00:00,6902.77,4841.23,4515.58,5576.62
2023-01-02 13:00:00,6846.4,4741.64,4485.94,5540.03
2023-01-02 14:00:00,6233.0,4238.21,4037.72,4986.48
2023-01-02 15:00:00,5122.28,3336.83,3194.81,3945.51
2023-01-02 16:00:00,2307.13,1394.74,1405.58,1735.87
2023-01-02 17:00:00,0.0,229.46,272.92,337.05
2023-01-02 18:00:00,0.0,229.46,272.92,337.05
2023-01-02 19:00:00,0.0,229.46,272.92,337.05
2023-01-02 20:00:00,0.0,229.46,272.92,337.05
2023-01-02 21:00:00,0.0,229.46,272.92,337.05
2023-01-02 22:00:00,0.0,229.46,272.92,337.05
2023-01-02 23:00:00,0.0,229.46,272.92,337.05
2023-01-03 00:00:00,0.0,229.46,272.92,337.05
2023-01-03 01:00:00,0.0,229.46,272.92,337.05
2023-01-03 02:00:00,0.0,229.46,272.92,337.05
2023-01-03 03:00:00,0.0,229.46,272.92,337.05
2023-01-03 04:00:00,0.0,229.46,272.92,337.05
2023-01-03 05:00:00,0.0,229.46,272.92,337.05
2023-01-03 06:00:00,0.0,229.46,272.92,337.05
2023-01-03 07:00:00,0.0,229.46,272.92,337.05
2023-01-03 08:00:00,3900.78,2411.5,2331.25,2879.04
2023-01-03 09:00:00,11415.66,8892.6,8653.19,10686.46
2023-01-03 10:00:00,12592.57,9991.68,9690.14,11967.06
2023-01-03 11:00:00,11983.05,9439.69,9171.9,11327.05
2023-01-03 12:00:00,9678.48,7359.09,7001.17,8646.26
2023-01-03 13:00:00,10287.62,7946.45,7578.45,9359.18
2023-01-03 14:00:00,11187.62,8776.65,8484.44,10478.06
2023-01-03 15:00:00,9835.57,7513.37,7131.0,8806.6
2023-01-03 16:00:00,4755.91,2985.71,2882.76,3560.14
2023-01-03 17:00:00,0.0,229.46,272.92,337.05
2023-01-03 18:00:00,0.0,229.46,272.92,337.05
2023-01-03 19:00:00,0.0,229.46,272.92,337.05
2023-01-03 20:00:00,0.0,229.46,272.92,337.05
2023-01-03 21:00:00,0.0,229.46,272.92,337.05
2023-01-03 22:00:00,0.0,229.46,272.92,337.05
2023-01-03 23:00:00,0.0,229.46,272.92,337.05
2023-01-04 00:00:00,0.0,229.46,272.92,337.05
2023-01-04 01:00:00,0.0,229.46,272.92,337.05
2023-01-04 02:00:00,0.0,229.46,272.92,337.05
2023-01-04 03:00:00,0.0,229.46,272.92,337.05
2023-01-04 04:00:00,0.0,229.46,272.92,337.05
2023-01-04 05:00:00,0.0,229.46,272.92,337.05
2023-01-04 06:00:00,0.0,229.46,272.92,337.05
2023-01-04 07:00:00,0.0,229.46,272.92,337.05
2023-01-04 08:00:00,3993.58,2491.07,2396.6,2959.73
2023-01-04 09:00:00,12877.18,10268.46,9992.12,12340.01
2023-01-04 10:00:00,13612.52,10942.54,10637.07,13136.5
2023-01-04 11:00:00,12751.23,10130.63,9888.0,12211.42
2023-01-04 12:00:00,10175.36,7834.46,7493.94,9254.82
2023-01-04 13:00:00,10762.01,8381.27,8093.42,9995.16
2023-01-04 14:00:00,11771.01,9288.84,9082.26,11216.35
2023-01-04 15:00:00,10148.37,7830.31,7446.67,9196.44
2023-01-04 16:00:00,4943.88,3115.88,3001.37,3706.61
2023-01-04 17:00:00,0.0,229.46,272.92,337.05
2023-01-04 18:00:00,0.0,229.46,272.92,337.05
2023-01-04 19:00:00,0.0,229.46,272.92,337.05
2023-01-04 20:00:00,0.0,229.46,272.92,337.05
2023-01-04 21:00:00,0.0,229.46,272.92,337.05
2023-01-04 22:00:00,0.0,229.46,272.92,337.05
2023-01-04 23:00:00,0.0,229.46,272.92,337.05
2023-01-05 00:00:00,0.0,229.46,272.92,337.05
