snapshot,q2qNo,q2qv1,q2qv2,q2qv3
2023-01-01 00:00:00,0.0,440.01,526.09,646.33
2023-01-01 01:00:00,0.0,440.01,526.09,646.32
2023-01-01 02:00:00,0.0,440.0,526.08,646.32
2023-01-01 03:00:00,0.0,440.0,526.08,646.32
2023-01-01 04:00:00,0.0,440.0,526.08,646.32
2023-01-01 05:00:00,0.0,440.0,526.08,646.32
2023-01-01 06:00:00,0.0,440.0,526.08,646.32
2023-01-01 07:00:00,0.0,440.0,526.08,646.32
2023-01-01 08:00:00,1536.95,2561.2,2767.07,3399.45
2023-01-01 09:00:00,5915.24,6342.22,6606.85,8116.74
2023-01-01 10:00:00,8405.85,8280.79,8659.44,10638.41
2023-01-01 11:00:00,10746.65,10023.89,10466.92,12858.96
2023-01-01 12:00:00,12182.59,11061.94,11572.15,14216.76
2023-01-01 13:00:00,11498.03,10601.01,11036.46,13558.65
2023-01-01 14:00:00,8892.21,8723.01,9189.07,11289.07
2023-01-01 15:00:00,5608.7,6209.32,6577.88,8081.15
2023-01-01 16:00:00,1659.04,2697.95,2898.18,3560.52
2023-01-01 17:00:00,0.0,440.01,526.09,646.32
2023-01-01 18:00:00,0.0,440.01,526.09,646.32
2023-01-01 19:00:00,0.0,440.01,526.09,646.32
2023-01-01 20:00:00,0.0,440.01,526.09,646.32
2023-01-01 21:00:00,0.0,440.01,526.09,646.32
2023-01-01 22:00:00,0.0,440.01,526.09,646.32
2023-01-01 23:00:00,0.0,440.01,526.09,646.32
2023-01-02 00:00:00,0.0,440.0,526.08,646.32
2023-01-02 01:00:00,0.0,440.0,526.08,646.32
2023-01-02 02:00:00,0.0,440.0,526.08,646.32
2023-01-02 03:00:00,0.0,440.0,526.08,646.32
2023-01-02 04:00:00,0.0,440.01,526.09,646.32
2023-01-02 05:00:00,0.0,440.01,526.09,646.33
2023-01-02 06:00:00,0.0,440.01,526.09,646.33
2023-01-02 07:00:00,0.0,440.01,526.09,646.33
2023-01-02 08:00:00,1137.29,2119.8,2312.78,2841.34
2023-01-02 09:00:00,5117.39,5716.13,6069.35,7456.4
2023-01-02 10:00:00,7397.52,7533.59,7927.32,9738.97
2023-01-02 11:00:00,8472.82,8328.04,8752.91,10753.23
2023-01-02 12:00:00,8761.48,8573.23,9008.47,11067.2
2023-01-02 13:00:00,8161.43,8161.69,8529.85,10479.19
