snapshot,q2qNo,q2qv1,q2qv2,q2qv3
2023-01-01 00:00:00,7002.03,8460.45,8852.86,11799.74
2023-01-01 01:00:00,6989.5,8464.11,8858.99,11807.91
2023-01-01 02:00:00,6988.05,8500.23,8886.29,11844.29
2023-01-01 03:00:00,6726.41,8429.61,8791.93,11718.52
2023-01-01 04:00:00,6622.99,8226.11,8571.1,11424.19
2023-01-01 05:00:00,7249.34,8573.81,8913.28,11880.27
2023-01-01 06:00:00,8277.25,9160.55,9562.59,12745.72
2023-01-01 07:00:00,9421.31,10046.32,10376.91,13831.11
2023-01-01 08:00:00,10369.79,10666.39,10967.88,14618.79
2023-01-01 09:00:00,10982.44,10908.67,11209.37,14940.66
2023-01-01 10:00:00,9741.5,9899.64,10337.34,13778.36
2023-01-01 11:00:00,8037.11,8854.3,9217.03,12285.13
2023-01-01 12:00:00,7876.02,8910.08,9269.86,12355.55
2023-01-01 13:00:00,7727.12,9179.85,9558.87,12740.75
2023-01-01 14:00:00,7497.34,8951.41,9292.65,12385.92
2023-01-01 15:00:00,8305.32,9274.67,9645.09,12855.68
2023-01-01 16:00:00,9032.03,9895.78,10331.99,13771.23
2023-01-01 17:00:00,9621.72,10514.38,10987.33,14644.72
2023-01-01 18:00:00,9849.83,10796.44,11268.59,15019.6
2023-01-01 19:00:00,9963.76,10947.43,11411.73,15210.38
2023-01-01 20:00:00,9816.64,10956.75,11441.24,15249.71
2023-01-01 21:00:00,9582.79,10733.86,11252.22,14997.79
2023-01-01 22:00:00,6299.78,8575.07,8894.53,11855.27
2023-01-01 23:00:00,7033.77,9204.97,9570.3,12755.99
2023-01-02 00:00:00,6971.95,9087.24,9457.22,12605.28
2023-01-02 01:00:00,6163.77,8408.76,8711.86,11611.81
2023-01-02 02:00:00,4986.81,7385.19,7670.24,10223.46
2023-01-02 03:00:00,4095.59,6733.01,6956.73,9272.43
2023-01-02 04:00:00,3510.09,6190.77,6397.52,8527.09
2023-01-02 05:00:00,2847.74,5558.1,5713.85,7615.83
2023-01-02 06:00:00,2229.38,4698.45,4840.05,6451.17
2023-01-02 07:00:00,1564.25,3682.78,3795.5,5058.91
2023-01-02 08:00:00,1079.68,2916.2,3013.06,4016.03
