snapshot,q2qNo,q2qv1,q2qv2,q2qv3
2023-01-01 00:00:00,7073.44,8492.82,8838.32,11734.3
2023-01-01 01:00:00,7116.44,8498.2,8853.83,11754.9
2023-01-01 02:00:00,7113.05,8492.27,8849.15,11748.67
2023-01-01 03:00:00,6782.88,8271.22,8594.41,11410.47
2023-01-01 04:00:00,6631.51,8038.78,8396.23,11147.35
2023-01-01 05:00:00,7196.44,8329.57,8673.14,11514.99
2023-01-01 06:00:00,8194.19,8970.46,9308.58,12358.64
2023-01-01 07:00:00,9325.02,9674.49,10071.49,13371.53
2023-01-01 08:00:00,10280.81,10183.67,10602.3,14076.27
2023-01-01 09:00:00,10911.15,10434.25,10873.54,14436.38
2023-01-01 10:00:00,9746.95,9651.25,10079.19,13381.76
2023-01-01 11:00:00,8013.01,8660.35,9052.05,12018.06
2023-01-01 12:00:00,7953.92,8781.66,9157.62,12158.22
2023-01-01 13:00:00,7638.53,8805.96,9206.87,12223.6
2023-01-01 14:00:00,7410.74,8513.97,8876.75,11785.33
2023-01-01 15:00:00,8267.11,8851.3,9249.92,12280.76
2023-01-01 16:00:00,9017.89,9476.01,9843.67,13069.07
2023-01-01 17:00:00,9699.76,10214.04,10664.0,14158.19
2023-01-01 18:00:00,10026.87,10502.03,10968.79,14562.84
2023-01-01 19:00:00,10280.18,10792.06,11238.85,14921.39
2023-01-01 20:00:00,10222.6,11009.26,11472.78,15231.96
2023-01-01 21:00:00,10131.99,11039.81,11537.85,15318.36
2023-01-01 22:00:00,6792.06,8909.46,9256.7,12289.76
2023-01-01 23:00:00,7706.73,9636.76,10044.37,13335.52
2023-01-02 00:00:00,7789.8,9636.21,10046.59,13338.47
2023-01-02 01:00:00,6979.97,9004.14,9322.16,12376.67
2023-01-02 02:00:00,5705.88,7979.27,8247.24,10949.55
2023-01-02 03:00:00,4602.64,7119.26,7390.01,9811.43
2023-01-02 04:00:00,3874.08,6547.86,6763.97,8980.27
2023-01-02 05:00:00,3089.73,5704.42,5865.57,7787.5
2023-01-02 06:00:00,2420.75,4873.21,5022.32,6667.95
2023-01-02 07:00:00,1733.28,3883.87,3995.49,5304.66
2023-01-02 08:00:00,1223.15,3075.65,3201.3,4250.24
2023-01-02 09:00:00,649.91,1888.31,1962.42,2605.43
2023-01-02 10:00:00,404.52,1382.61,1452.58,1928.53
2023-01-02 11:00:00,309.5,1230.38,1292.87,1716.49
2023-01-02 12:00:00,305.41,1162.13,1227.88,1630.21
2023-01-02 13:00:00,290.51,1141.41,1202.55,1596.58
2023-01-02 14:00:00,322.21,1258.59,1321.37,1754.33
2023-01-02 15:00:00,339.6,1322.72,1390.33,1845.89
2023-01-02 16:00:00,384.82,1484.12,1554.35,2063.65
2023-01-02 17:00:00,504.2,1768.13,1840.38,2443.4
2023-01-02 18:00:00,562.35,1879.48,1962.43,2605.44
2023-01-02 19:00:00,584.16,1848.4,1919.47,2548.41
2023-01-02 20:00:00,637.86,1920.37,1997.7,2652.27
2023-01-02 21:00:00,681.69,1974.77,2058.93,2733.57
