snapshot,q2qNo,q2qv1,q2qv2,q2qv3
2023-01-01 00:00:00,0.0,256.17,304.5,376.27
2023-01-01 01:00:00,0.0,256.17,304.5,376.27
2023-01-01 02:00:00,0.0,256.17,304.5,376.27
2023-01-01 03:00:00,0.0,256.17,304.5,376.27
2023-01-01 04:00:00,0.0,256.17,304.5,376.27
2023-01-01 05:00:00,0.0,256.17,304.5,376.27
2023-01-01 06:00:00,0.0,256.17,304.5,376.27
2023-01-01 07:00:00,0.0,256.17,304.5,376.27
2023-01-01 08:00:00,3868.83,2426.29,2379.62,2940.51
2023-01-01 09:00:00,8054.16,5966.25,5737.39,7089.7
2023-01-01 10:00:00,9181.49,6979.23,6699.79,8278.94
2023-01-01 11:00:00,10057.41,7758.64,7493.33,9259.53
2023-01-01 12:00:00,8663.91,6520.56,6073.2,7504.67
2023-01-01 13:00:00,9052.54,6873.6,6472.8,7998.46
2023-01-01 14:00:00,8571.73,6384.7,6011.44,7428.35
2023-01-01 15:00:00,6349.76,4246.59,4101.73,5068.51
2023-01-01 16:00:00,2432.74,1413.88,1429.43,1766.35
2023-01-01 17:00:00,0.0,256.17,304.5,376.27
2023-01-01 18:00:00,0.0,256.17,304.5,376.27
2023-01-01 19:00:00,0.0,256.17,304.5,376.27
2023-01-01 20:00:00,0.0,256.17,304.5,376.27
2023-01-01 21:00:00,0.0,256.17,304.5,376.27
2023-01-01 22:00:00,0.0,256.17,304.5,376.27
2023-01-01 23:00:00,0.0,256.17,304.5,376.27
2023-01-02 00:00:00,0.0,256.17,304.5,376.27
2023-01-02 01:00:00,0.0,256.17,304.5,376.27
2023-01-02 02:00:00,0.0,256.17,304.5,376.27
2023-01-02 03:00:00,0.0,256.17,304.5,376.27
2023-01-02 04:00:00,0.0,256.17,304.5,376.27
2023-01-02 05:00:00,0.0,256.17,304.5,376.27
2023-01-02 06:00:00,0.0,256.17,304.5,376.27
2023-01-02 07:00:00,0.0,256.17,304.51,376.28
2023-01-02 08:00:00,2882.74,1752.02,1761.97,2177.27
2023-01-02 09:00:00,6952.77,5001.86,4729.06,5843.71
2023-01-02 10:00:00,7884.86,5809.47,5574.03,6887.84
2023-01-02 11:00:00,7954.79,5821.85,5578.88,6893.83
2023-01-02 12:00:00,6852.06,4755.7,4467.72,5520.77
2023-01-02 13:00:00,6792.11,4690.66,4427.01,5470.47
2023-01-02 14:00:00,5978.63,3953.86,3796.74,4691.64
2023-01-02 15:00:00,4898.3,3088.53,2973.13,3673.91
2023-01-02 16:00:00,2201.57,1296.75,1330.33,1643.9
2023-01-02 17:00:00,0.0,256.17,304.51,376.28
2023-01-02 18:00:00,0.0,256.17,304.51,376.28
2023-01-02 19:00:00,0.0,256.17,304.51,376.28
2023-01-02 20:00:00,0.0,256.17,304.51,376.28
2023-01-02 21:00:00,0.0,256.17,304.51,376.28
2023-01-02 22:00:00,0.0,256.17,304.51,376.28
2023-01-02 23:00:00,0.0,256.17,304.51,376.28
2023-01-03 00:00:00,0.0,256.17,304.51,376.28
2023-01-03 01:00:00,0.0,256.17,304.51,376.28
2023-01-03 02:00:00,0.0,256.17,304.51,376.28
2023-01-03 03:00:00,0.0,256.17,304.51,376.28
2023-01-03 04:00:00,0.0,256.17,304.51,376.28
2023-01-03 05:00:00,0.0,256.17,304.51,376.28
2023-01-03 06:00:00,0.0,256.17,304.51,376.28
2023-01-03 07:00:00,0.0,256.17,304.51,376.28
2023-01-03 08:00:00,3837.34,2363.47,2317.73,2864.03
2023-01-03 09:00:00,11596.67,9204.53,8921.3,11024.08
2023-01-03 10:00:00,12929.91,10435.35,10203.61,12608.63
2023-01-03 11:00:00,12291.23,9863.3,9649.85,11924.35
2023-01-03 12:00:00,9785.97,7568.82,7167.57,8857.0
2023-01-03 13:00:00,10355.16,8146.04,7775.88,9608.67
2023-01-03 14:00:00,11142.25,8862.06,8598.04,10624.62
2023-01-03 15:00:00,9725.44,7513.18,7106.93,8782.06
2023-01-03 16:00:00,4655.39,2914.35,2829.37,3496.26
2023-01-03 17:00:00,0.0,256.17,304.51,376.28
2023-01-03 18:00:00,0.0,256.17,304.51,376.28
2023-01-03 19:00:00,0.0,256.17,304.51,376.28
2023-01-03 20:00:00,0.0,256.17,304.51,376.28
2023-01-03 21:00:00,0.0,256.17,304.51,376.28
2023-01-03 22:00:00,0.0,256.17,304.51,376.28
2023-01-03 23:00:00,0.0,256.17,304.51,376.28
