snapshot,q2qNo,q2qv1,q2qv2,q2qv3
2023-01-01 00:00:00,0.0,258.22,308.07,379.29
2023-01-01 01:00:00,0.0,258.22,308.07,379.29
2023-01-01 02:00:00,0.0,258.22,308.07,379.29
2023-01-01 03:00:00,0.0,258.22,308.07,379.29
2023-01-01 04:00:00,0.0,258.22,308.07,379.29
2023-01-01 05:00:00,0.0,258.22,308.07,379.29
2023-01-01 06:00:00,0.0,258.22,308.07,379.29
2023-01-01 07:00:00,0.0,258.22,308.07,379.29
2023-01-01 08:00:00,3997.87,2540.0,2419.7,2979.04
2023-01-01 09:00:00,7814.47,6024.4,5765.78,7098.59
2023-01-01 10:00:00,8955.14,6789.88,6583.39,8105.21
2023-01-01 11:00:00,9892.46,7586.46,7359.2,9060.35
2023-01-01 12:00:00,8693.52,6500.43,6066.33,7468.62
2023-01-01 13:00:00,9166.12,6980.43,6520.02,8027.19
2023-01-01 14:00:00,8764.06,6565.91,6100.91,7511.2
2023-01-01 15:00:00,6540.52,4402.45,4208.06,5180.8
2023-01-01 16:00:00,2615.79,1507.12,1502.86,1850.26
2023-01-01 17:00:00,0.0,258.22,308.07,379.29
2023-01-01 18:00:00,0.0,258.22,308.07,379.29
2023-01-01 19:00:00,0.0,258.22,308.07,379.29
2023-01-01 20:00:00,0.0,258.22,308.07,379.29
2023-01-01 21:00:00,0.0,258.22,308.07,379.29
2023-01-01 22:00:00,0.0,258.22,308.07,379.29
2023-01-01 23:00:00,0.0,258.22,308.07,379.29
2023-01-02 00:00:00,0.0,258.22,308.07,379.29
2023-01-02 01:00:00,0.0,258.22,308.07,379.29
2023-01-02 02:00:00,0.0,258.22,308.07,379.29
2023-01-02 03:00:00,0.0,258.22,308.07,379.29
2023-01-02 04:00:00,0.0,258.22,308.07,379.29
2023-01-02 05:00:00,0.0,258.22,308.07,379.29
2023-01-02 06:00:00,0.0,258.22,308.08,379.29
2023-01-02 07:00:00,0.0,258.22,308.08,379.29
2023-01-02 08:00:00,2937.6,1694.33,1685.77,2075.45
2023-01-02 09:00:00,6821.41,4904.23,4628.73,5698.7
2023-01-02 10:00:00,7888.79,5758.4,5584.46,6875.37
2023-01-02 11:00:00,7870.29,5736.35,5494.92,6765.12
2023-01-02 12:00:00,6845.61,4767.61,4495.69,5534.91
2023-01-02 13:00:00,6824.84,4737.27,4473.23,5507.26
2023-01-02 14:00:00,6216.42,4199.53,3941.61,4852.75
2023-01-02 15:00:00,5077.78,3212.38,3060.99,3768.56
2023-01-02 16:00:00,2253.06,1320.57,1335.42,1644.11
2023-01-02 17:00:00,0.0,258.22,308.08,379.29
2023-01-02 18:00:00,0.0,258.22,308.08,379.29
2023-01-02 19:00:00,0.0,258.22,308.08,379.29
2023-01-02 20:00:00,0.0,258.22,308.08,379.29
2023-01-02 21:00:00,0.0,258.22,308.08,379.29
2023-01-02 22:00:00,0.0,258.22,308.08,379.29
2023-01-02 23:00:00,0.0,258.22,308.08,379.29
2023-01-03 00:00:00,0.0,258.22,308.08,379.29
2023-01-03 01:00:00,0.0,258.22,308.08,379.29
2023-01-03 02:00:00,0.0,258.22,308.08,379.29
2023-01-03 03:00:00,0.0,258.22,308.08,379.29
2023-01-03 04:00:00,0.0,258.22,308.08,379.29
2023-01-03 05:00:00,0.0,258.22,308.08,379.29
2023-01-03 06:00:00,0.0,258.22,308.08,379.29
2023-01-03 07:00:00,0.0,258.22,308.08,379.29
2023-01-03 08:00:00,3980.39,2465.76,2340.21,2881.18
2023-01-03 09:00:00,11542.97,9106.77,8838.08,10881.09
2023-01-03 10:00:00,12815.68,10266.36,9984.58,12292.61
2023-01-03 11:00:00,12217.88,9742.68,9496.5,11691.71
2023-01-03 12:00:00,9787.23,7540.62,7109.38,8752.79
2023-01-03 13:00:00,10338.05,8083.89,7687.32,9464.32
2023-01-03 14:00:00,11138.73,8797.87,8484.11,10445.29
2023-01-03 15:00:00,9770.63,7501.5,7082.56,8719.76
2023-01-03 16:00:00,4759.86,2990.31,2886.65,3553.93
2023-01-03 17:00:00,0.0,258.22,308.08,379.29
2023-01-03 18:00:00,0.0,258.22,308.08,379.29
2023-01-03 19:00:00,0.0,258.22,308.08,379.29
2023-01-03 20:00:00,0.0,258.22,308.08,379.29
2023-01-03 21:00:00,0.0,258.22,308.08,379.29
2023-01-03 22:00:00,0.0,258.22,308.08,379.29
2023-01-03 23:00:00,0.0,258.22,308.08,379.29
2023-01-04 00:00:00,0.0,258.22,308.08,379.29
2023-01-04 01:00:00,0.0,258.22,308.08,379.29
2023-01-04 02:00:00,0.0,258.22,308.08,379.29
2023-01-04 03:00:00,0.0,258.22,308.08,379.29
2023-01-04 04:00:00,0.0,258.22,308.08,379.29
2023-01-04 05:00:00,0.0,258.22,308.08,379.29
2023-01-04 06:00:00,0.0,258.22,308.08,379.29
2023-01-04 07:00:00,0.0,258.22,308.08,379.29
2023-01-04 08:00:00,4078.01,2554.82,2425.88,2986.65
2023-01-04 09:00:00,13193.49,10569.03,10382.97,12783.1
2023-01-04 10:00:00,13923.03,11236.01,11036.4,13587.57
2023-01-04 11:00:00,12947.48,10344.99,10172.74,12524.27
2023-01-04 12:00:00,10233.65,7943.87,7575.71,9326.9
2023-01-04 13:00:00,10814.02,8478.61,8179.17,10069.86
2023-01-04 14:00:00,11769.12,9362.27,9147.2,11261.66
2023-01-04 15:00:00,10123.06,7876.88,7454.51,9177.7
2023-01-04 16:00:00,4935.7,3106.87,3013.18,3709.7
2023-01-04 17:00:00,0.0,258.22,308.08,379.29
2023-01-04 18:00:00,0.0,258.22,308.08,379.29
2023-01-04 19:00:00,0.0,258.22,308.08,379.29
2023-01-04 20:00:00,0.0,258.22,308.08,379.29
2023-01-04 21:00:00,0.0,258.22,308.08,379.29
2023-01-04 22:00:00,0.0,258.22,308.08,379.29
2023-01-04 23:00:00,0.0,258.22,308.08,379.29
2023-01-05 00:00:00,0.0,258.22,308.08,379.29
2023-01-05 01:00:00,0.0,258.22,308.08,379.29
2023-01-05 02:00:00,0.0,258.22,308.08,379.29
2023-01-05 03:00:00,0.0,258.22,308.08,379.29
2023-01-05 04:00:00,0.0,258.22,308.08,379.29
2023-01-05 05:00:00,0.0,258.22,308.08,379.29
2023-01-05 06:00:00,0.0,258.22,308.08,379.29
2023-01-05 07:00:00,0.0,258.22,308.08,379.29
2023-01-05 08:00:00,4137.58,2609.24,2460.91,3029.77
2023-01-05 09:00:00,13718.62,11025.0,10900.77,13420.59
2023-01-05 10:00:00,14499.74,11814.64,11555.12,14226.2
2023-01-05 11:00:00,13453.39,10823.1,10634.31,13092.53
2023-01-05 12:00:00,10539.14,8247.18,7879.99,9701.52
2023-01-05 13:00:00,10947.69,8610.29,8338.12,10265.55
2023-01-05 14:00:00,11682.62,9292.44,9040.33,11130.09
2023-01-05 15:00:00,9978.3,7707.11,7308.86,8998.37
2023-01-05 16:00:00,4931.81,3109.2,3017.93,3715.55
2023-01-05 17:00:00,0.0,258.22,308.08,379.29
2023-01-05 18:00:00,0.0,258.22,308.08,379.29
2023-01-05 19:00:00,0.0,258.22,308.08,379.29
2023-01-05 20:00:00,0.0,258.22,308.08,379.29
2023-01-05 21:00:00,0.0,258.22,308.08,379.29
2023-01-05 22:00:00,0.0,258.22,308.08,379.29
2023-01-05 23:00:00,0.0,258.22,308.08,379.29
2023-01-06 00:00:00,0.0,258.22,308.08,379.29
2023-01-06 01:00:00,0.0,258.22,308.08,379.29
2023-01-06 02:00:00,0.0,258.22,308.08,379.29
2023-01-06 03:00:00,0.0,258.22,308.08,379.29
2023-01-06 04:00:00,0.0,258.22,308.08,379.29
2023-01-06 05:00:00,0.0,258.22,308.08,379.29
2023-01-06 06:00:00,0.0,258.22,308.08,379.29
2023-01-06 07:00:00,0.0,258.22,308.08,379.29
2023-01-06 08:00:00,4172.09,2657.45,2487.74,3062.8
2023-01-06 09:00:00,13928.47,11265.22,10993.81,13535.13
2023-01-06 10:00:00,14418.91,11749.91,11453.08,14100.57
2023-01-06 11:00:00,13157.84,10546.72,10359.45,12754.14
2023-01-06 12:00:00,10257.59,7939.91,7642.96,9409.71
