snapshot,q2qNo,q2qv1,q2qv2,q2qv3
2023-01-01 00:00:00,0.0,480.78,578.08,706.2
2023-01-01 01:00:00,0.0,480.78,578.08,706.2
2023-01-01 02:00:00,0.0,480.78,578.08,706.2
2023-01-01 03:00:00,0.0,480.78,578.08,706.2
2023-01-01 04:00:00,0.0,480.78,578.08,706.2
2023-01-01 05:00:00,0.0,480.78,578.08,706.2
2023-01-01 06:00:00,0.0,480.78,578.08,706.2
2023-01-01 07:00:00,0.0,480.78,578.08,706.2
2023-01-01 08:00:00,1517.46,2539.53,2747.97,3357.03
2023-01-01 09:00:00,5822.92,6346.76,6668.28,8146.26
2023-01-01 10:00:00,8287.6,8255.19,8652.06,10569.72
2023-01-01 11:00:00,10541.26,9944.89,10433.21,12745.65
2023-01-01 12:00:00,11818.33,10874.64,11326.4,13803.02
2023-01-01 13:00:00,11042.24,10329.22,10792.68,13182.75
2023-01-01 14:00:00,8534.5,8529.65,8992.12,10985.16
2023-01-01 15:00:00,5428.32,6115.51,6509.59,7952.38
2023-01-01 16:00:00,1599.67,2662.53,2861.74,3496.02
2023-01-01 17:00:00,0.0,480.78,578.08,706.2
2023-01-01 18:00:00,0.0,480.78,578.08,706.2
2023-01-01 19:00:00,0.0,480.78,578.08,706.2
2023-01-01 20:00:00,0.0,480.78,578.08,706.2
2023-01-01 21:00:00,0.0,480.78,578.08,706.2
2023-01-01 22:00:00,0.0,480.78,578.08,706.2
2023-01-01 23:00:00,0.0,480.78,578.08,706.2
2023-01-02 00:00:00,0.0,480.78,578.08,706.2
2023-01-02 01:00:00,0.0,480.78,578.08,706.2
2023-01-02 02:00:00,0.0,480.78,578.08,706.2
2023-01-02 03:00:00,0.0,480.78,578.08,706.2
2023-01-02 04:00:00,0.0,480.78,578.08,706.2
2023-01-02 05:00:00,0.0,480.78,578.08,706.2
2023-01-02 06:00:00,0.0,480.78,578.08,706.2
2023-01-02 07:00:00,0.0,480.78,578.08,706.2
2023-01-02 08:00:00,1098.44,2073.11,2267.21,2769.72
2023-01-02 09:00:00,5032.28,5720.65,6052.6,7394.11
2023-01-02 10:00:00,7205.77,7433.14,7857.43,9598.98
2023-01-02 11:00:00,8202.81,8192.72,8623.9,10535.32
2023-01-02 12:00:00,8449.76,8418.47,8833.51,10791.39
2023-01-02 13:00:00,7781.23,7949.45,8313.97,10156.7
2023-01-02 14:00:00,6150.32,6647.13,7016.05,8571.1
2023-01-02 15:00:00,4412.71,5243.34,5572.76,6807.92
2023-01-02 16:00:00,1470.88,2499.72,2697.59,3295.49
2023-01-02 17:00:00,0.0,480.79,578.09,706.22
2023-01-02 18:00:00,0.0,480.79,578.09,706.22
2023-01-02 19:00:00,0.0,480.79,578.09,706.22
2023-01-02 20:00:00,0.0,480.79,578.09,706.22
2023-01-02 21:00:00,0.0,480.79,578.09,706.22
2023-01-02 22:00:00,0.0,480.79,578.09,706.22
2023-01-02 23:00:00,0.0,480.79,578.09,706.21
2023-01-03 00:00:00,0.0,480.79,578.09,706.21
2023-01-03 01:00:00,0.0,480.79,578.09,706.21
2023-01-03 02:00:00,0.0,480.79,578.09,706.21
