snapshot,q2qNo,q2qv1,q2qv2,q2qv3
2023-01-01 00:00:00,0.0,587.15,705.79,862.45
2023-01-01 01:00:00,0.0,587.15,705.79,862.45
2023-01-01 02:00:00,0.0,587.15,705.79,862.45
2023-01-01 03:00:00,0.0,587.15,705.79,862.45
2023-01-01 04:00:00,0.0,587.15,705.79,862.45
2023-01-01 05:00:00,0.0,587.15,705.79,862.45
2023-01-01 06:00:00,0.0,587.15,705.79,862.45
2023-01-01 07:00:00,0.0,587.15,705.79,862.45
2023-01-01 08:00:00,1572.22,2669.39,2858.67,3493.18
2023-01-01 09:00:00,5986.77,6424.85,6716.27,8207.0
2023-01-01 10:00:00,8464.21,8401.78,8846.84,10810.46
2023-01-01 11:00:00,10829.41,10132.28,10639.94,13001.54
2023-01-01 12:00:00,12134.29,11069.5,11654.45,14241.24
2023-01-01 13:00:00,11419.71,10597.4,11155.4,13631.42
2023-01-01 14:00:00,8907.72,8902.86,9165.47,11199.81
2023-01-01 15:00:00,5604.65,6237.78,6712.64,8202.57
2023-01-01 16:00:00,1682.09,2728.9,2968.48,3627.36
2023-01-01 17:00:00,0.0,587.15,705.79,862.45
2023-01-01 18:00:00,0.0,587.15,705.79,862.45
2023-01-01 19:00:00,0.0,587.15,705.79,862.45
2023-01-01 20:00:00,0.0,587.15,705.79,862.45
2023-01-01 21:00:00,0.0,587.15,705.79,862.45
2023-01-01 22:00:00,0.0,587.15,705.79,862.45
2023-01-01 23:00:00,0.0,587.15,705.79,862.45
2023-01-02 00:00:00,0.0,587.15,705.79,862.45
2023-01-02 01:00:00,0.0,587.15,705.79,862.45
2023-01-02 02:00:00,0.0,587.15,705.79,862.45
2023-01-02 03:00:00,0.0,587.15,705.79,862.45
2023-01-02 04:00:00,0.0,587.15,705.79,862.45
2023-01-02 05:00:00,0.0,587.15,705.79,862.45
2023-01-02 06:00:00,0.0,587.15,705.8,862.45
2023-01-02 07:00:00,0.0,587.15,705.8,862.45
2023-01-02 08:00:00,1159.76,2152.73,2340.03,2859.42
2023-01-02 09:00:00,5124.33,5800.7,6172.24,7542.21
2023-01-02 10:00:00,7387.59,7666.36,8046.59,9832.58
2023-01-02 11:00:00,8412.27,8335.15,8970.15,10961.13
2023-01-02 12:00:00,8624.29,8470.04,9103.94,11124.62
2023-01-02 13:00:00,8068.16,8129.05,8697.07,10627.44
2023-01-02 14:00:00,6414.15,6969.27,7205.39,8804.68
2023-01-02 15:00:00,4536.79,5343.52,5676.66,6936.63
2023-01-02 16:00:00,1501.06,2560.89,2719.99,3323.71
2023-01-02 17:00:00,0.0,587.16,705.8,862.46
2023-01-02 18:00:00,0.0,587.16,705.8,862.46
2023-01-02 19:00:00,0.0,587.16,705.8,862.46
2023-01-02 20:00:00,0.0,587.16,705.8,862.46
2023-01-02 21:00:00,0.0,587.16,705.8,862.46
2023-01-02 22:00:00,0.0,587.16,705.8,862.46
2023-01-02 23:00:00,0.0,587.16,705.8,862.46
2023-01-03 00:00:00,0.0,587.16,705.8,862.46
2023-01-03 01:00:00,0.0,587.16,705.8,862.46
2023-01-03 02:00:00,0.0,587.16,705.8,862.46
2023-01-03 03:00:00,0.0,587.16,705.8,862.46
2023-01-03 04:00:00,0.0,587.16,705.8,862.46
2023-01-03 05:00:00,0.0,587.16,705.8,862.46
2023-01-03 06:00:00,0.0,587.16,705.8,862.46
2023-01-03 07:00:00,0.0,587.16,705.8,862.46
2023-01-03 08:00:00,1538.31,2653.17,2780.68,3397.87
2023-01-03 09:00:00,8034.24,8154.39,8491.82,10376.63
2023-01-03 10:00:00,11568.96,10741.76,11237.04,13731.17
