snapshot,q2qNo,q2qv1,q2qv2,q2qv3
2020-01-01 00:00:00,121.8,288.06,300.96,367.47
2020-01-01 01:00:00,123.5,291.56,304.86,372.23
2020-01-01 02:00:00,121.91,281.16,292.67,357.35
2020-01-01 03:00:00,126.14,300.22,312.14,381.13
2020-01-01 04:00:00,108.56,244.7,253.25,309.22
2020-01-01 05:00:00,101.84,234.65,244.41,298.43
2020-01-01 06:00:00,87.02,214.45,223.0,272.29
2020-01-01 07:00:00,65.79,180.59,188.24,229.85
2020-01-01 08:00:00,42.93,122.96,126.96,155.02
2020-01-01 09:00:00,26.63,79.83,83.09,101.45
2020-01-01 10:00:00,11.45,34.28,35.9,43.84
2020-01-01 11:00:00,10.07,31.65,32.65,39.87
2020-01-01 12:00:00,10.07,30.14,31.14,38.02
2020-01-01 13:00:00,8.26,26.49,27.54,33.63
2020-01-01 14:00:00,6.43,22.91,24.22,29.58
2020-01-01 15:00:00,4.61,19.22,20.23,24.7
2020-01-01 16:00:00,3.8,17.16,17.75,21.67
2020-01-01 17:00:00,4.65,19.32,20.37,24.87
2020-01-01 18:00:00,5.7,21.74,22.7,27.72
2020-01-01 19:00:00,6.75,23.5,24.83,30.32
2020-01-01 20:00:00,7.05,24.04,25.23,30.81
2020-01-01 21:00:00,21.19,86.36,89.44,109.2
2020-01-01 22:00:00,83.92,280.31,291.17,355.52
2020-01-01 23:00:00,120.56,350.28,363.51,443.85
2020-01-02 00:00:00,182.38,469.37,489.33,597.48
2020-01-02 01:00:00,260.34,582.09,603.73,737.16
2020-01-02 02:00:00,377.04,763.39,795.39,971.18
2020-01-02 03:00:00,470.83,866.98,904.87,1104.86
2020-01-02 04:00:00,546.01,951.33,994.42,1214.2
2020-01-02 05:00:00,618.85,1021.07,1063.51,1298.56
2020-01-02 06:00:00,741.05,1197.72,1248.72,1524.7
2020-01-02 07:00:00,865.29,1344.02,1409.38,1720.86
2020-01-02 08:00:00,959.3,1479.76,1553.38,1896.69
2020-01-02 09:00:00,1098.33,1698.15,1778.57,2171.65
2020-01-02 10:00:00,962.73,1614.27,1696.7,2071.69
2020-01-02 11:00:00,998.13,1441.59,1517.05,1852.33
2020-01-02 12:00:00,1090.14,1462.28,1547.24,1889.2
2020-01-02 13:00:00,1306.96,1677.8,1741.34,2126.2
2020-01-02 14:00:00,1568.46,1890.52,1975.74,2412.4
2020-01-02 15:00:00,1499.98,1887.59,1948.87,2379.59
2020-01-02 16:00:00,1677.09,2144.3,2236.45,2730.73
2020-01-02 17:00:00,1734.93,2355.82,2444.4,2984.64
2020-01-02 18:00:00,1789.97,2421.05,2514.19,3069.85
2020-01-02 19:00:00,1799.99,2430.52,2521.33,3078.56
2020-01-02 20:00:00,1869.89,2567.32,2662.76,3251.25
2020-01-02 21:00:00,1885.65,2657.92,2757.43,3366.85
2020-01-02 22:00:00,1917.29,2763.65,2881.15,3517.92
2020-01-02 23:00:00,1917.33,2763.91,2872.21,3507.0
2020-01-03 00:00:00,1931.69,2754.27,2850.72,3480.75
2020-01-03 01:00:00,1933.76,2763.96,2875.29,3510.75
2020-01-03 02:00:00,1863.55,2716.23,2822.28,3446.03
2020-01-03 03:00:00,1796.85,2660.49,2787.89,3404.04
2020-01-03 04:00:00,1582.28,2547.87,2667.74,3257.33
2020-01-03 05:00:00,1385.6,2476.8,2584.98,3156.28
2020-01-03 06:00:00,1201.22,2475.47,2575.76,3145.02
2020-01-03 07:00:00,1056.24,2324.18,2405.72,2937.41
2020-01-03 08:00:00,875.03,2030.06,2104.53,2569.65
2020-01-03 09:00:00,656.74,1680.74,1747.36,2133.54
2020-01-03 10:00:00,362.01,1070.65,1112.54,1358.42
2020-01-03 11:00:00,151.71,504.6,527.72,644.35
2020-01-03 12:00:00,163.65,543.82,562.57,686.9
2020-01-03 13:00:00,286.7,870.58,910.19,1111.35
2020-01-03 14:00:00,397.88,1072.27,1112.45,1358.31
2020-01-03 15:00:00,515.52,1284.2,1332.48,1626.97
2020-01-03 16:00:00,766.88,1643.44,1705.3,2082.19
2020-01-03 17:00:00,1106.82,2115.23,2194.18,2679.11
2020-01-03 18:00:00,1380.39,2497.86,2596.14,3169.91
2020-01-03 19:00:00,1535.26,2762.71,2876.48,3512.21
2020-01-03 20:00:00,1631.16,2944.38,3062.74,3739.63
2020-01-03 21:00:00,1697.31,3062.41,3183.51,3887.09
2020-01-03 22:00:00,1721.39,3214.1,3348.41,4088.44
2020-01-03 23:00:00,1798.08,3285.08,3410.61,4164.39
2020-01-04 00:00:00,1721.26,3175.45,3293.15,4020.97
2020-01-04 01:00:00,1690.34,3203.36,3324.08,4058.74
