snapshot,q2qNo,q2qv1,q2qv2,q2qv3
2020-01-01 00:00:00,120.42,270.75,282.81,344.03
2020-01-01 01:00:00,123.54,276.84,288.55,351.0
2020-01-01 02:00:00,128.37,298.0,309.96,377.06
2020-01-01 03:00:00,130.72,303.3,315.85,384.21
2020-01-01 04:00:00,118.28,274.83,285.71,347.55
2020-01-01 05:00:00,106.07,238.99,249.29,303.25
2020-01-01 06:00:00,92.0,219.13,228.42,277.86
2020-01-01 07:00:00,99.52,319.75,333.8,406.05
2020-01-01 08:00:00,81.79,289.6,301.5,366.76
2020-01-01 09:00:00,31.95,99.93,103.92,126.41
2020-01-01 10:00:00,11.95,34.4,35.85,43.61
2020-01-01 11:00:00,10.52,31.63,32.62,39.69
2020-01-01 12:00:00,10.24,29.59,30.58,37.2
2020-01-01 13:00:00,8.46,26.16,27.2,33.09
2020-01-01 14:00:00,6.29,22.3,23.44,28.51
2020-01-01 15:00:00,4.81,19.23,20.09,24.44
2020-01-01 16:00:00,4.27,17.96,18.69,22.74
2020-01-01 17:00:00,4.99,19.6,20.61,25.07
2020-01-01 18:00:00,5.93,21.7,22.72,27.64
2020-01-01 19:00:00,7.43,24.1,25.4,30.9
2020-01-01 20:00:00,7.84,25.0,26.06,31.71
2020-01-01 21:00:00,21.46,83.76,87.42,106.34
2020-01-01 22:00:00,94.0,314.15,327.24,398.07
2020-01-01 23:00:00,124.89,350.36,365.85,445.04
2020-01-02 00:00:00,185.6,467.3,490.39,596.53
2020-01-02 01:00:00,256.37,569.24,591.57,719.62
2020-01-02 02:00:00,354.83,689.81,720.35,876.28
2020-01-02 03:00:00,452.65,837.7,870.69,1059.15
2020-01-02 04:00:00,525.14,924.86,959.3,1166.94
2020-01-02 05:00:00,612.24,1053.82,1101.84,1340.34
2020-01-02 06:00:00,724.47,1171.15,1217.89,1481.5
2020-01-02 07:00:00,856.12,1359.19,1419.37,1726.59
2020-01-02 08:00:00,954.49,1492.34,1563.11,1901.45
2020-01-02 09:00:00,1114.65,1777.59,1864.78,2268.41
2020-01-02 10:00:00,970.98,1635.28,1709.85,2079.95
2020-01-02 11:00:00,989.62,1427.09,1505.34,1831.17
2020-01-02 12:00:00,1096.78,1489.47,1576.09,1917.24
2020-01-02 13:00:00,1296.75,1670.82,1744.55,2122.16
2020-01-02 14:00:00,1578.65,1897.85,1981.35,2410.22
2020-01-02 15:00:00,1522.8,1921.64,1990.95,2421.89
2020-01-02 16:00:00,1703.61,2166.78,2254.53,2742.53
2020-01-02 17:00:00,1757.05,2326.26,2421.34,2945.44
2020-01-02 18:00:00,1823.32,2448.35,2547.7,3099.15
2020-01-02 19:00:00,1832.62,2448.07,2542.07,3092.3
2020-01-02 20:00:00,1910.12,2597.94,2693.98,3277.1
2020-01-02 21:00:00,1927.48,2681.73,2785.4,3388.31
2020-01-02 22:00:00,1979.33,2851.32,2980.2,3625.27
2020-01-02 23:00:00,1970.3,2803.57,2929.22,3563.25
2020-01-03 00:00:00,1976.09,2773.55,2893.88,3520.26
2020-01-03 01:00:00,1985.47,2825.0,2950.57,3589.23
2020-01-03 02:00:00,1908.13,2747.81,2877.25,3500.04
2020-01-03 03:00:00,1836.33,2695.44,2832.51,3445.62
2020-01-03 04:00:00,1624.71,2595.86,2719.47,3308.11
2020-01-03 05:00:00,1435.65,2507.87,2617.96,3184.62
2020-01-03 06:00:00,1267.82,2520.29,2626.23,3194.68
2020-01-03 07:00:00,1138.68,2423.36,2511.04,3054.56
2020-01-03 08:00:00,954.12,2125.5,2205.23,2682.55
2020-01-03 09:00:00,745.07,1845.1,1917.16,2332.14
2020-01-03 10:00:00,411.73,1144.31,1192.85,1451.05
2020-01-03 11:00:00,186.2,607.01,632.15,768.98
2020-01-03 12:00:00,192.68,612.69,638.32,776.49
2020-01-03 13:00:00,313.78,897.82,938.78,1141.98
2020-01-03 14:00:00,434.12,1124.57,1168.99,1422.02
2020-01-03 15:00:00,550.76,1307.61,1356.39,1649.99
2020-01-03 16:00:00,828.57,1709.4,1779.15,2164.25
2020-01-03 17:00:00,1189.52,2183.31,2269.57,2760.82
2020-01-03 18:00:00,1481.54,2597.74,2703.39,3288.55
2020-01-03 19:00:00,1643.12,2837.36,2957.92,3598.17
2020-01-03 20:00:00,1725.99,2980.94,3097.24,3767.64
2020-01-03 21:00:00,1784.4,3097.99,3222.37,3919.86
2020-01-03 22:00:00,1829.38,3279.93,3411.22,4149.58
2020-01-03 23:00:00,1908.06,3365.83,3500.17,4257.79
2020-01-04 00:00:00,1826.05,3297.63,3423.38,4164.37
2020-01-04 01:00:00,1771.6,3232.48,3361.33,4088.89
2020-01-04 02:00:00,1779.92,3180.34,3312.39,4029.37
2020-01-04 03:00:00,1822.39,3241.92,3373.21,4103.34
2020-01-04 04:00:00,1859.01,3278.01,3412.65,4151.32
2020-01-04 05:00:00,1770.22,3176.83,3305.84,4021.39
2020-01-04 06:00:00,1775.01,3175.65,3302.33,4017.13
2020-01-04 07:00:00,1930.39,3505.17,3653.13,4443.86
2020-01-04 08:00:00,2117.81,3875.6,4036.0,4909.6
2020-01-04 09:00:00,1923.26,3651.2,3790.1,4610.47
2020-01-04 10:00:00,1706.85,3184.76,3318.12,4036.34
2020-01-04 11:00:00,1915.75,3518.84,3664.3,4457.44
2020-01-04 12:00:00,2076.15,3664.58,3813.68,4639.16
2020-01-04 13:00:00,1984.67,3680.07,3817.14,4643.37
2020-01-04 14:00:00,1808.34,3520.83,3661.36,4453.86
2020-01-04 15:00:00,1762.67,3477.9,3623.19,4407.43
2020-01-04 16:00:00,1851.22,3570.32,3711.13,4514.41
2020-01-04 17:00:00,2051.67,3808.76,3951.3,4806.57
2020-01-04 18:00:00,2243.7,4119.36,4273.51,5198.52
2020-01-04 19:00:00,2294.01,4227.85,4385.41,5334.64
2020-01-04 20:00:00,2321.12,4284.66,4443.48,5405.28
2020-01-04 21:00:00,2214.62,4142.03,4302.3,5233.54
2020-01-04 22:00:00,2044.83,3957.25,4103.29,4991.45
2020-01-04 23:00:00,1763.39,3583.25,3716.0,4520.33
2020-01-05 00:00:00,1538.6,3240.84,3368.5,4097.61
2020-01-05 01:00:00,1436.54,3082.37,3201.99,3895.07
2020-01-05 02:00:00,1272.92,2795.88,2905.85,3534.83
2020-01-05 03:00:00,1267.25,2782.44,2889.84,3515.35
2020-01-05 04:00:00,1247.33,2686.29,2787.44,3390.78
2020-01-05 05:00:00,1257.52,2672.25,2771.04,3370.83
2020-01-05 06:00:00,1152.51,2528.85,2626.2,3194.64
2020-01-05 07:00:00,1056.58,2383.75,2483.81,3021.43
2020-01-05 08:00:00,949.3,2074.02,2159.33,2626.71
2020-01-05 09:00:00,789.3,1821.76,1889.9,2298.97
2020-01-05 10:00:00,475.65,1243.81,1294.32,1574.47
2020-01-05 11:00:00,263.47,716.02,744.3,905.4
2020-01-05 12:00:00,235.43,629.69,654.63,796.33
2020-01-05 13:00:00,220.32,597.81,623.29,758.2
2020-01-05 14:00:00,176.28,440.81,458.43,557.66
2020-01-05 15:00:00,163.26,410.8,428.84,521.66
2020-01-05 16:00:00,148.12,358.5,373.98,454.92
2020-01-05 17:00:00,165.1,373.84,388.18,472.2
2020-01-05 18:00:00,176.03,421.73,438.58,533.51
2020-01-05 19:00:00,160.06,383.02,400.02,486.61
2020-01-05 20:00:00,132.55,325.49,339.74,413.28
2020-01-05 21:00:00,110.44,254.58,265.56,323.04
2020-01-05 22:00:00,88.28,219.59,228.21,277.61
2020-01-05 23:00:00,68.94,189.32,198.27,241.18
2020-01-06 00:00:00,153.55,501.1,523.42,636.71
2020-01-06 01:00:00,238.78,751.31,783.64,953.26
2020-01-06 02:00:00,358.3,1013.13,1056.59,1285.29
2020-01-06 03:00:00,450.81,1227.8,1278.25,1554.93
2020-01-06 04:00:00,475.82,1252.45,1304.87,1587.31
2020-01-06 05:00:00,484.14,1265.36,1315.0,1599.63
2020-01-06 06:00:00,493.7,1247.26,1299.72,1581.04
2020-01-06 07:00:00,539.7,1326.88,1379.98,1678.68
2020-01-06 08:00:00,519.6,1247.64,1297.22,1578.01
2020-01-06 09:00:00,514.49,1213.81,1263.45,1536.92
2020-01-06 10:00:00,373.46,831.33,863.2,1050.04
2020-01-06 11:00:00,326.52,670.53,699.51,850.92
2020-01-06 12:00:00,328.69,657.16,682.38,830.08
2020-01-06 13:00:00,370.19,685.36,711.82,865.89
2020-01-06 14:00:00,430.8,809.86,840.6,1022.54
2020-01-06 15:00:00,283.48,595.92,621.62,756.17
2020-01-06 16:00:00,223.92,553.67,573.73,697.91
