snapshot,q2qNo,q2qv1,q2qv2,q2qv3
2020-01-01 00:00:00,0.0,0.0,113.03,126.54
2020-01-01 01:00:00,0.0,0.0,113.03,126.54
2020-01-01 02:00:00,0.0,0.0,113.03,126.54
2020-01-01 03:00:00,0.0,0.0,113.03,126.54
2020-01-01 04:00:00,0.0,0.0,113.03,126.54
2020-01-01 05:00:00,0.0,0.0,113.03,126.54
2020-01-01 06:00:00,0.0,0.0,113.03,126.54
2020-01-01 07:00:00,0.0,0.0,113.03,126.54
2020-01-01 08:00:00,1861.45,1101.04,1027.05,1149.84
2020-01-01 09:00:00,5781.29,4992.07,4636.29,5190.58
2020-01-01 10:00:00,6101.04,5344.96,4966.72,5560.51
2020-01-01 11:00:00,5687.63,4877.18,4542.49,5085.57
2020-01-01 12:00:00,4404.64,3493.79,3195.62,3577.68
2020-01-01 13:00:00,4682.16,3773.76,3494.48,3912.26
2020-01-01 14:00:00,4889.13,4001.87,3747.66,4195.71
2020-01-01 15:00:00,4001.62,3119.22,2813.71,3150.1
2020-01-01 16:00:00,1623.26,918.58,876.45,981.23
2020-01-01 17:00:00,0.0,0.0,113.03,126.54
2020-01-01 18:00:00,0.0,0.0,113.03,126.54
2020-01-01 19:00:00,0.0,0.0,113.03,126.54
2020-01-01 20:00:00,0.0,0.0,113.03,126.54
2020-01-01 21:00:00,0.0,0.0,113.03,126.54
2020-01-01 22:00:00,0.0,0.0,113.03,126.54
2020-01-01 23:00:00,0.0,0.0,113.03,126.54
2020-01-02 00:00:00,0.0,0.0,113.03,126.54
2020-01-02 01:00:00,0.0,0.0,113.03,126.54
2020-01-02 02:00:00,0.0,0.0,113.03,126.54
2020-01-02 03:00:00,0.0,0.0,113.03,126.54
2020-01-02 04:00:00,0.0,0.0,113.03,126.54
2020-01-02 05:00:00,0.0,0.0,113.03,126.54
2020-01-02 06:00:00,0.0,0.0,113.03,126.54
2020-01-02 07:00:00,0.0,0.0,113.03,126.54
2020-01-02 08:00:00,1681.11,941.74,885.37,991.22
2020-01-02 09:00:00,5214.55,4381.42,4060.37,4545.81
2020-01-02 10:00:00,5463.09,4644.99,4318.4,4834.68
2020-01-02 11:00:00,5116.73,4257.79,3950.03,4422.27
2020-01-02 12:00:00,4040.41,3108.29,2836.33,3175.43
2020-01-02 13:00:00,4219.12,3288.66,3029.05,3391.18
2020-01-02 14:00:00,4303.57,3389.92,3149.54,3526.08
2020-01-02 15:00:00,3491.82,2589.47,2340.96,2620.84
2020-01-02 16:00:00,1400.07,776.89,741.59,830.25
2020-01-02 17:00:00,0.0,0.0,113.03,126.54
2020-01-02 18:00:00,0.0,0.0,113.03,126.54
2020-01-02 19:00:00,0.0,0.0,113.03,126.54
2020-01-02 20:00:00,0.0,0.0,113.03,126.54
2020-01-02 21:00:00,0.0,0.0,113.03,126.54
2020-01-02 22:00:00,0.0,0.0,113.03,126.54
2020-01-02 23:00:00,0.0,0.0,113.03,126.54
2020-01-03 00:00:00,0.0,0.0,113.03,126.54
2020-01-03 01:00:00,0.0,0.0,113.03,126.54
2020-01-03 02:00:00,0.0,0.0,113.03,126.54
2020-01-03 03:00:00,0.0,0.0,113.03,126.54
2020-01-03 04:00:00,0.0,0.0,113.03,126.54
2020-01-03 05:00:00,0.0,0.0,113.03,126.54
2020-01-03 06:00:00,0.0,0.0,113.03,126.54
2020-01-03 07:00:00,0.0,0.0,113.03,126.54
2020-01-03 08:00:00,1697.02,1010.81,952.78,1066.69
2020-01-03 09:00:00,3936.89,3119.67,2878.08,3222.17
2020-01-03 10:00:00,4301.22,3474.65,3202.81,3585.72
2020-01-03 11:00:00,4330.91,3451.72,3194.1,3575.97
2020-01-03 12:00:00,3623.1,2702.26,2420.59,2709.98
2020-01-03 13:00:00,3769.36,2848.77,2589.03,2898.57
2020-01-03 14:00:00,3663.13,2748.21,2511.99,2812.31
