snapshot,q2qNo,q2qv1,q2qv2,q2qv3
2020-01-01 00:00:00,0.0,178.87,240.05,252.17
2020-01-01 01:00:00,0.0,178.87,240.05,252.17
2020-01-01 02:00:00,0.0,178.87,240.05,252.17
2020-01-01 03:00:00,0.0,178.87,240.05,252.17
2020-01-01 04:00:00,0.0,178.87,240.05,252.17
2020-01-01 05:00:00,0.0,178.87,240.05,252.17
2020-01-01 06:00:00,0.0,178.87,240.05,252.17
2020-01-01 07:00:00,0.0,178.87,240.05,252.17
2020-01-01 08:00:00,744.16,1047.0,1169.4,1228.44
2020-01-01 09:00:00,3997.61,3935.0,4069.99,4275.47
2020-01-01 10:00:00,5519.35,5287.99,5416.07,5689.52
2020-01-01 11:00:00,6234.49,5943.0,6069.7,6376.14
2020-01-01 12:00:00,6397.33,6088.45,6218.88,6532.86
2020-01-01 13:00:00,5989.73,5733.25,5840.03,6134.88
2020-01-01 14:00:00,4954.02,4787.95,4937.17,5186.43
2020-01-01 15:00:00,3307.77,3325.48,3487.73,3663.81
2020-01-01 16:00:00,989.07,1271.51,1378.6,1448.2
2020-01-01 17:00:00,0.0,178.87,240.05,252.17
2020-01-01 18:00:00,0.0,178.87,240.05,252.17
2020-01-01 19:00:00,0.0,178.87,240.05,252.17
2020-01-01 20:00:00,0.0,178.87,240.05,252.17
2020-01-01 21:00:00,0.0,178.87,240.05,252.17
2020-01-01 22:00:00,0.0,178.87,240.05,252.17
2020-01-01 23:00:00,0.0,178.87,240.05,252.17
2020-01-02 00:00:00,0.0,178.87,240.05,252.17
2020-01-02 01:00:00,0.0,178.87,240.05,252.17
2020-01-02 02:00:00,0.0,178.87,240.05,252.17
2020-01-02 03:00:00,0.0,178.86,240.05,252.17
2020-01-02 04:00:00,0.0,178.86,240.05,252.17
2020-01-02 05:00:00,0.0,178.86,240.05,252.17
2020-01-02 06:00:00,0.0,178.86,240.05,252.17
2020-01-02 07:00:00,0.0,178.87,240.05,252.17
2020-01-02 08:00:00,670.0,985.85,1103.8,1159.53
2020-01-02 09:00:00,3628.94,3629.56,3752.96,3942.44
2020-01-02 10:00:00,4960.31,4788.17,4947.15,5196.93
2020-01-02 11:00:00,5570.65,5346.4,5490.34,5767.53
2020-01-02 12:00:00,5704.79,5461.74,5611.52,5894.83
2020-01-02 13:00:00,5320.62,5122.13,5261.85,5527.51
2020-01-02 14:00:00,4372.71,4268.85,4439.85,4664.01
2020-01-02 15:00:00,2929.34,3013.37,3160.51,3320.08
2020-01-02 16:00:00,870.42,1145.93,1270.68,1334.83
2020-01-02 17:00:00,0.0,178.87,240.05,252.17
2020-01-02 18:00:00,0.0,178.87,240.05,252.17
2020-01-02 19:00:00,0.0,178.87,240.05,252.17
2020-01-02 20:00:00,0.0,178.87,240.05,252.17
2020-01-02 21:00:00,0.0,178.87,240.05,252.17
2020-01-02 22:00:00,0.0,178.87,240.05,252.17
2020-01-02 23:00:00,0.0,178.87,240.05,252.17
2020-01-03 00:00:00,0.0,178.86,240.05,252.17
2020-01-03 01:00:00,0.0,178.86,240.05,252.17
2020-01-03 02:00:00,0.0,178.86,240.05,252.17
2020-01-03 03:00:00,0.0,178.86,240.05,252.17
2020-01-03 04:00:00,0.0,178.86,240.05,252.17
2020-01-03 05:00:00,0.0,178.87,240.05,252.17
