snapshot,q2qNo,q2qv1,q2qv2,q2qv3
2023-01-01 00:00:00,0.0,0.0,256.55,307.15
2023-01-01 01:00:00,0.0,0.0,256.55,307.15
2023-01-01 02:00:00,0.0,0.0,256.55,307.15
2023-01-01 03:00:00,0.0,0.0,256.55,307.15
2023-01-01 04:00:00,0.0,0.0,256.55,307.15
2023-01-01 05:00:00,0.0,0.0,256.55,307.15
2023-01-01 06:00:00,0.0,0.0,256.55,307.15
2023-01-01 07:00:00,0.0,0.0,256.55,307.15
2023-01-01 08:00:00,4.42,7.92,262.67,314.47
2023-01-01 09:00:00,3718.01,4240.74,4393.07,5259.53
2023-01-01 10:00:00,8111.17,8023.19,8360.63,10009.63
2023-01-01 11:00:00,11517.64,10548.26,11127.27,13321.95
2023-01-01 12:00:00,13511.9,12000.47,12508.62,14975.75
2023-01-01 13:00:00,13905.01,12291.95,12781.09,15301.97
2023-01-01 14:00:00,12947.32,11586.99,12166.39,14566.03
2023-01-01 15:00:00,10601.69,9957.42,10419.03,12474.03
2023-01-01 16:00:00,7001.05,7193.69,7513.51,8995.44
2023-01-01 17:00:00,2647.63,3204.33,3355.49,4017.31
2023-01-01 18:00:00,0.0,0.0,256.55,307.15
2023-01-01 19:00:00,0.0,0.0,256.55,307.15
2023-01-01 20:00:00,0.0,0.0,256.55,307.15
2023-01-01 21:00:00,0.0,0.0,256.55,307.15
2023-01-01 22:00:00,0.0,0.0,256.55,307.15
2023-01-01 23:00:00,0.0,0.0,256.55,307.15
2023-01-02 00:00:00,0.0,0.0,256.55,307.15
2023-01-02 01:00:00,0.0,0.0,256.55,307.15
2023-01-02 02:00:00,0.0,0.0,256.55,307.15
2023-01-02 03:00:00,0.0,0.0,256.55,307.15
2023-01-02 04:00:00,0.0,0.0,256.55,307.15
2023-01-02 05:00:00,0.0,0.0,256.55,307.15
2023-01-02 06:00:00,0.0,0.0,256.55,307.15
2023-01-02 07:00:00,0.0,0.0,256.55,307.15
2023-01-02 08:00:00,1.29,2.85,258.48,309.46
2023-01-02 09:00:00,1468.2,1899.27,1985.12,2376.66
2023-01-02 10:00:00,3600.24,4086.21,4268.42,5110.3
2023-01-02 11:00:00,5669.42,5975.12,6218.22,7444.67
2023-01-02 12:00:00,6827.04,6884.32,7190.78,8609.05
2023-01-02 13:00:00,7731.18,7673.37,8039.73,9625.45
2023-01-02 14:00:00,7362.99,7389.86,7749.9,9278.45
2023-01-02 15:00:00,5866.65,6178.48,6423.41,7690.33
2023-01-02 16:00:00,3436.17,3898.73,4047.35,4845.62
2023-01-02 17:00:00,1332.51,1754.49,1846.02,2210.12
2023-01-02 18:00:00,0.0,0.0,256.55,307.15
2023-01-02 19:00:00,0.0,0.0,256.55,307.15
2023-01-02 20:00:00,0.0,0.0,256.55,307.15
2023-01-02 21:00:00,0.0,0.0,256.55,307.15
2023-01-02 22:00:00,0.0,0.0,256.55,307.15
2023-01-02 23:00:00,0.0,0.0,256.55,307.15
2023-01-03 00:00:00,0.0,0.0,256.55,307.15
2023-01-03 01:00:00,0.0,0.0,256.55,307.15
2023-01-03 02:00:00,0.0,0.0,256.55,307.15
2023-01-03 03:00:00,0.0,0.0,256.55,307.15
2023-01-03 04:00:00,0.0,0.0,256.55,307.15
2023-01-03 05:00:00,0.0,0.0,256.55,307.15
2023-01-03 06:00:00,0.0,0.0,256.55,307.15
2023-01-03 07:00:00,0.0,0.0,256.55,307.15
2023-01-03 08:00:00,2.51,3.9,259.46,310.64
2023-01-03 09:00:00,3383.47,3898.62,4093.01,4900.3
2023-01-03 10:00:00,7455.22,7526.1,7851.97,9400.65
2023-01-03 11:00:00,10595.5,9917.87,10399.5,12450.64
2023-01-03 12:00:00,12822.46,11547.31,12024.95,14396.69
2023-01-03 13:00:00,14003.51,12418.25,12928.58,15478.55
2023-01-03 14:00:00,12501.2,11305.17,11809.82,14139.13
2023-01-03 15:00:00,10152.03,9585.19,10054.36,12037.43
2023-01-03 16:00:00,7064.42,7205.08,7514.23,8996.3
2023-01-03 17:00:00,3229.05,3788.87,3951.43,4730.79
2023-01-03 18:00:00,0.0,0.0,256.55,307.15
2023-01-03 19:00:00,0.0,0.0,256.55,307.15
2023-01-03 20:00:00,0.0,0.0,256.55,307.15
2023-01-03 21:00:00,0.0,0.0,256.55,307.15
2023-01-03 22:00:00,0.0,0.0,256.55,307.15
2023-01-03 23:00:00,0.0,0.0,256.55,307.15
2023-01-04 00:00:00,0.0,0.0,256.55,307.15
2023-01-04 01:00:00,0.0,0.0,256.55,307.15
2023-01-04 02:00:00,0.0,0.0,256.55,307.15
2023-01-04 03:00:00,0.0,0.0,256.55,307.15
2023-01-04 04:00:00,0.0,0.0,256.55,307.15
2023-01-04 05:00:00,0.0,0.0,256.55,307.15
2023-01-04 06:00:00,0.0,0.0,256.55,307.15
2023-01-04 07:00:00,0.0,0.0,256.55,307.15
2023-01-04 08:00:00,9.48,13.32,267.98,320.84
2023-01-04 09:00:00,3864.51,4420.57,4563.52,5463.61
2023-01-04 10:00:00,7833.82,7839.18,8177.3,9790.15
2023-01-04 11:00:00,11429.3,10564.91,11026.27,13201.03
2023-01-04 12:00:00,14274.1,12581.01,13095.28,15678.12
2023-01-04 13:00:00,15170.28,13259.37,13727.56,16435.12
2023-01-04 14:00:00,14226.43,12542.55,13020.26,15588.31
2023-01-04 15:00:00,12139.22,11025.35,11647.78,13945.12
2023-01-04 16:00:00,8413.98,8327.59,8703.17,10419.74
2023-01-04 17:00:00,3675.56,4220.59,4420.27,5292.11
2023-01-04 18:00:00,0.0,0.0,256.55,307.15
2023-01-04 19:00:00,0.0,0.0,256.55,307.15
2023-01-04 20:00:00,0.0,0.0,256.55,307.15
2023-01-04 21:00:00,0.0,0.0,256.55,307.15
2023-01-04 22:00:00,0.0,0.0,256.55,307.15
2023-01-04 23:00:00,0.0,0.0,256.55,307.15
2023-01-05 00:00:00,0.0,0.0,256.55,307.15
2023-01-05 01:00:00,0.0,0.0,256.55,307.15
2023-01-05 02:00:00,0.0,0.0,256.55,307.15
2023-01-05 03:00:00,0.0,0.0,256.55,307.15
2023-01-05 04:00:00,0.0,0.0,256.55,307.15
2023-01-05 05:00:00,0.0,0.0,256.55,307.15
2023-01-05 06:00:00,0.0,0.0,256.55,307.15
2023-01-05 07:00:00,0.0,0.0,256.55,307.15
2023-01-05 08:00:00,7.49,9.92,265.51,317.88
2023-01-05 09:00:00,4857.68,5323.28,5490.79,6573.76
2023-01-05 10:00:00,9345.05,9030.9,9415.61,11272.7
2023-01-05 11:00:00,12720.96,11440.5,12016.28,14386.31
2023-01-05 12:00:00,14890.27,13037.9,13479.7,16138.37
2023-01-05 13:00:00,15444.59,13474.33,13922.08,16668.0
2023-01-05 14:00:00,14457.24,12706.07,13183.16,15783.34
2023-01-05 15:00:00,12179.61,11064.45,11671.1,13973.05
2023-01-05 16:00:00,8547.57,8442.79,8839.86,10583.39
2023-01-05 17:00:00,3808.73,4344.72,4554.73,5453.08
2023-01-05 18:00:00,0.0,0.0,256.55,307.15
2023-01-05 19:00:00,0.0,0.0,256.55,307.15
2023-01-05 20:00:00,0.0,0.0,256.55,307.15
2023-01-05 21:00:00,0.0,0.0,256.55,307.15
2023-01-05 22:00:00,0.0,0.0,256.55,307.15
2023-01-05 23:00:00,0.0,0.0,256.55,307.15
2023-01-06 00:00:00,0.0,0.0,256.55,307.15
2023-01-06 01:00:00,0.0,0.0,256.55,307.15
2023-01-06 02:00:00,0.0,0.0,256.55,307.15
2023-01-06 03:00:00,0.0,0.0,256.55,307.15
2023-01-06 04:00:00,0.0,0.0,256.55,307.15
2023-01-06 05:00:00,0.0,0.0,256.55,307.15
2023-01-06 06:00:00,0.0,0.0,256.55,307.15
2023-01-06 07:00:00,0.0,0.0,256.55,307.15
2023-01-06 08:00:00,11.8,15.69,270.05,323.31
2023-01-06 09:00:00,4769.52,5253.53,5429.86,6500.82
2023-01-06 10:00:00,8949.79,8703.84,9082.71,10874.14
2023-01-06 11:00:00,12386.32,11190.5,11721.78,14033.73
2023-01-06 12:00:00,14598.46,12841.93,13306.99,15931.59
2023-01-06 13:00:00,15353.78,13410.08,13858.28,16591.62
2023-01-06 14:00:00,14615.16,12829.0,13268.86,15885.94
2023-01-06 15:00:00,12522.58,11301.3,11922.09,14273.54
2023-01-06 16:00:00,8709.18,8574.41,8950.09,10715.36
2023-01-06 17:00:00,3882.73,4425.53,4642.95,5558.7
2023-01-06 18:00:00,0.0,0.0,256.55,307.15
2023-01-06 19:00:00,0.0,0.0,256.55,307.15
2023-01-06 20:00:00,0.0,0.0,256.55,307.15
2023-01-06 21:00:00,0.0,0.0,256.55,307.15
2023-01-06 22:00:00,0.0,0.0,256.55,307.15
2023-01-06 23:00:00,0.0,0.0,256.55,307.15
2023-01-07 00:00:00,0.0,0.0,256.55,307.15
2023-01-07 01:00:00,0.0,0.0,256.55,307.15
2023-01-07 02:00:00,0.0,0.0,256.55,307.15
2023-01-07 03:00:00,0.0,0.0,256.55,307.15
2023-01-07 04:00:00,0.0,0.0,256.55,307.15
2023-01-07 05:00:00,0.0,0.0,256.55,307.15
2023-01-07 06:00:00,0.0,0.0,256.55,307.15
2023-01-07 07:00:00,0.0,0.0,256.55,307.15
2023-01-07 08:00:00,10.45,14.25,268.52,321.48
2023-01-07 09:00:00,3007.35,3482.75,3611.03,4323.25
2023-01-07 10:00:00,5641.43,5807.02,6040.81,7232.27
2023-01-07 11:00:00,7938.07,7665.76,7982.1,9556.45
2023-01-07 12:00:00,9542.06,8922.86,9247.39,11071.29
2023-01-07 13:00:00,9432.75,8820.53,9118.07,10916.47
2023-01-07 14:00:00,8046.75,7715.6,7994.12,9570.84
2023-01-07 15:00:00,5704.0,5754.57,6029.81,7219.1
2023-01-07 16:00:00,3719.47,4060.23,4266.46,5107.96
2023-01-07 17:00:00,1390.26,1757.33,1868.91,2237.52
2023-01-07 18:00:00,0.0,0.0,256.55,307.15
2023-01-07 19:00:00,0.0,0.0,256.55,307.15
2023-01-07 20:00:00,0.0,0.0,256.55,307.15
2023-01-07 21:00:00,0.0,0.0,256.55,307.15
2023-01-07 22:00:00,0.0,0.0,256.55,307.15
2023-01-07 23:00:00,0.0,0.0,256.55,307.15
2023-01-08 00:00:00,0.0,0.0,256.55,307.15
2023-01-08 01:00:00,0.0,0.0,256.55,307.15
2023-01-08 02:00:00,0.0,0.0,256.55,307.15
2023-01-08 03:00:00,0.0,0.0,256.55,307.15
2023-01-08 04:00:00,0.0,0.0,256.55,307.15
2023-01-08 05:00:00,0.0,0.0,256.55,307.15
2023-01-08 06:00:00,0.0,0.0,256.55,307.15
2023-01-08 07:00:00,0.0,0.0,256.55,307.15
2023-01-08 08:00:00,4.6,8.07,262.29,314.02
2023-01-08 09:00:00,415.78,580.56,742.92,889.44
2023-01-08 10:00:00,1139.94,1511.05,1577.23,1888.31
2023-01-08 11:00:00,2042.98,2514.19,2618.25,3134.65
2023-01-08 12:00:00,3315.59,3859.29,3950.82,4730.05
2023-01-08 13:00:00,3666.54,4157.33,4323.03,5175.68
2023-01-08 14:00:00,3702.04,4158.53,4286.87,5132.38
2023-01-08 15:00:00,3359.26,3815.48,3978.26,4762.91
2023-01-08 16:00:00,2290.97,2823.0,2899.77,3471.7
2023-01-08 17:00:00,658.95,924.78,1010.51,1209.81
2023-01-08 18:00:00,0.0,0.0,256.55,307.15
2023-01-08 19:00:00,0.0,0.0,256.55,307.15
2023-01-08 20:00:00,0.0,0.0,256.55,307.15
2023-01-08 21:00:00,0.0,0.0,256.55,307.15
2023-01-08 22:00:00,0.0,0.0,256.55,307.15
2023-01-08 23:00:00,0.0,0.0,256.55,307.15
2023-01-09 00:00:00,0.0,0.0,256.55,307.15
2023-01-09 01:00:00,0.0,0.0,256.55,307.15
2023-01-09 02:00:00,0.0,0.0,256.55,307.15
2023-01-09 03:00:00,0.0,0.0,256.55,307.15
2023-01-09 04:00:00,0.0,0.0,256.55,307.15
2023-01-09 05:00:00,0.0,0.0,256.55,307.15
2023-01-09 06:00:00,0.0,0.0,256.55,307.15
2023-01-09 07:00:00,0.0,0.0,256.55,307.15
2023-01-09 08:00:00,6.58,9.98,264.46,316.62
2023-01-09 09:00:00,2093.13,2583.36,2679.98,3208.57
2023-01-09 10:00:00,5097.79,5487.47,5672.95,6791.85
2023-01-09 11:00:00,8454.33,8220.76,8649.87,10355.92
2023-01-09 12:00:00,10499.22,9808.38,10299.91,12331.41
2023-01-09 13:00:00,11897.23,10854.25,11368.54,13610.81
2023-01-09 14:00:00,11995.08,10942.98,11488.51,13754.44
2023-01-09 15:00:00,9968.59,9460.06,9949.4,11911.77
2023-01-09 16:00:00,6842.58,7037.93,7352.99,8803.26
2023-01-09 17:00:00,3042.66,3643.23,3811.75,4563.56
2023-01-09 18:00:00,0.0,0.0,256.55,307.15
2023-01-09 19:00:00,0.0,0.0,256.55,307.15
2023-01-09 20:00:00,0.0,0.0,256.55,307.15
2023-01-09 21:00:00,0.0,0.0,256.55,307.15
2023-01-09 22:00:00,0.0,0.0,256.55,307.15
2023-01-09 23:00:00,0.0,0.0,256.55,307.15
2023-01-10 00:00:00,0.0,0.0,256.55,307.15
2023-01-10 01:00:00,0.0,0.0,256.55,307.15
2023-01-10 02:00:00,0.0,0.0,256.55,307.15
2023-01-10 03:00:00,0.0,0.0,256.55,307.15
2023-01-10 04:00:00,0.0,0.0,256.55,307.15
2023-01-10 05:00:00,0.0,0.0,256.55,307.15
2023-01-10 06:00:00,0.0,0.0,256.55,307.15
2023-01-10 07:00:00,0.0,0.0,256.55,307.15
2023-01-10 08:00:00,31.28,54.84,297.51,356.19
2023-01-10 09:00:00,4082.92,4638.25,4721.34,5652.55
2023-01-10 10:00:00,8086.11,7991.7,8313.13,9952.77
2023-01-10 11:00:00,11326.83,10442.68,10956.29,13117.25
2023-01-10 12:00:00,13573.29,12082.31,12568.18,15047.07
