snapshot,q2qNo,q2qv1,q2qv2,q2qv3
2023-01-01 00:00:00,3541.96,7662.97,8963.57,9786.44
2023-01-01 01:00:00,3527.92,7637.37,8926.64,9745.95
2023-01-01 02:00:00,3536.27,7703.59,9010.24,9837.23
2023-01-01 03:00:00,3436.39,7616.66,8908.31,9725.94
2023-01-01 04:00:00,3458.98,7524.79,8784.27,9590.51
2023-01-01 05:00:00,3875.82,7801.58,9156.9,9997.37
2023-01-01 06:00:00,4645.53,8532.53,10040.46,10962.08
2023-01-01 07:00:00,5625.45,9282.55,11011.57,12022.38
2023-01-01 08:00:00,6616.97,9733.88,11643.18,12712.01
2023-01-01 09:00:00,7467.07,10203.06,12028.13,13132.29
2023-01-01 10:00:00,5638.75,9043.39,10763.58,11751.62
2023-01-01 11:00:00,4480.01,8102.62,9548.72,10425.13
2023-01-01 12:00:00,4444.01,8335.92,9826.06,10727.96
2023-01-01 13:00:00,4078.63,8338.7,9760.0,10655.84
2023-01-01 14:00:00,4014.02,8148.53,9556.25,10433.36
2023-01-01 15:00:00,4600.87,8314.68,9858.39,10763.26
2023-01-01 16:00:00,5020.4,8847.88,10476.05,11437.71
2023-01-01 17:00:00,5476.22,9557.25,11307.74,12345.95
2023-01-01 18:00:00,5765.57,9927.02,11807.34,12891.44
2023-01-01 19:00:00,5860.8,10138.23,12072.06,13180.49
2023-01-01 20:00:00,5713.4,10250.91,12158.74,13275.13
2023-01-01 21:00:00,5569.12,10349.62,12207.52,13328.38
2023-01-01 22:00:00,3689.28,8312.37,9640.85,10525.95
2023-01-01 23:00:00,4028.79,8979.08,10463.42,11423.95
2023-01-02 00:00:00,3971.45,8945.08,10323.89,11271.56
2023-01-02 01:00:00,3498.57,8254.02,9489.12,10360.13
2023-01-02 02:00:00,2800.08,7331.12,8350.75,9117.18
2023-01-02 03:00:00,2234.49,6555.16,7427.39,8109.02
2023-01-02 04:00:00,1878.58,6036.54,6886.72,7518.84
2023-01-02 05:00:00,1491.57,5408.88,6088.97,6647.79
2023-01-02 06:00:00,1106.86,4479.93,5080.22,5546.39
2023-01-02 07:00:00,735.47,3474.97,3942.91,4304.65
2023-01-02 08:00:00,431.45,2213.86,2559.59,2794.37
2023-01-02 09:00:00,264.71,1472.1,1730.94,1889.5
2023-01-02 10:00:00,163.97,1111.3,1335.22,1457.44
2023-01-02 11:00:00,115.9,970.47,1178.35,1286.17
2023-01-02 12:00:00,123.89,977.14,1186.98,1295.58
2023-01-02 13:00:00,111.44,944.12,1147.57,1252.56
2023-01-02 14:00:00,102.95,918.39,1120.26,1222.74
2023-01-02 15:00:00,99.7,920.71,1126.42,1229.47
2023-01-02 16:00:00,92.48,913.05,1119.59,1222.17
2023-01-02 17:00:00,132.09,1042.11,1259.95,1375.5
2023-01-02 18:00:00,197.59,1370.76,1628.61,1778.02
2023-01-02 19:00:00,230.44,1459.13,1721.45,1879.39
2023-01-02 20:00:00,237.45,1423.2,1679.11,1833.15
2023-01-02 21:00:00,252.32,1463.97,1718.59,1876.26
