snapshot,q2qNo,q2qv1,q2qv2,q2qv3
2023-01-01 00:00:00,0.0,484.84,583.07,712.25
2023-01-01 01:00:00,0.0,484.82,583.05,712.25
2023-01-01 02:00:00,0.0,484.82,583.05,712.25
2023-01-01 03:00:00,0.0,484.82,583.05,712.25
2023-01-01 04:00:00,0.0,484.82,583.05,712.25
2023-01-01 05:00:00,0.0,484.82,583.05,712.25
2023-01-01 06:00:00,0.0,484.82,583.05,712.25
2023-01-01 07:00:00,0.0,484.82,583.05,712.25
2023-01-01 08:00:00,1524.46,2574.46,2777.68,3392.85
2023-01-01 09:00:00,5855.47,6345.88,6620.64,8086.8
2023-01-01 10:00:00,8295.22,8239.85,8649.99,10565.53
2023-01-01 11:00:00,10578.2,9984.64,10366.11,12661.67
2023-01-01 12:00:00,11924.98,10928.81,11422.01,13951.38
2023-01-01 13:00:00,11250.92,10500.12,10937.08,13359.07
2023-01-01 14:00:00,8731.04,8615.18,9171.29,11202.27
2023-01-01 15:00:00,5503.26,6179.16,6557.04,8009.12
2023-01-01 16:00:00,1642.37,2708.72,2883.36,3521.94
2023-01-01 17:00:00,0.0,484.84,583.07,712.25
2023-01-01 18:00:00,0.0,484.84,583.07,712.25
2023-01-01 19:00:00,0.0,484.84,583.07,712.25
2023-01-01 20:00:00,0.0,484.84,583.07,712.25
2023-01-01 21:00:00,0.0,484.84,583.07,712.25
2023-01-01 22:00:00,0.0,484.84,583.07,712.25
2023-01-01 23:00:00,0.0,484.82,583.05,712.25
2023-01-02 00:00:00,0.0,484.82,583.05,712.25
2023-01-02 01:00:00,0.0,484.82,583.05,712.25
2023-01-02 02:00:00,0.0,484.82,583.05,712.25
2023-01-02 03:00:00,0.0,484.82,583.05,712.25
2023-01-02 04:00:00,0.0,484.82,583.05,712.25
2023-01-02 05:00:00,0.0,484.84,583.07,712.25
2023-01-02 06:00:00,0.0,484.84,583.07,712.25
2023-01-02 07:00:00,0.0,484.84,583.07,712.25
2023-01-02 08:00:00,1128.15,2122.28,2319.5,2833.2
2023-01-02 09:00:00,5153.52,5787.81,6168.32,7534.3
2023-01-02 10:00:00,7433.1,7634.46,8020.94,9797.16
2023-01-02 11:00:00,8473.28,8403.77,8848.05,10807.43
2023-01-02 12:00:00,8667.57,8576.91,9053.21,11058.02
2023-01-02 13:00:00,7963.7,8082.19,8500.08,10382.4
2023-01-02 14:00:00,6321.55,6803.17,7087.51,8657.04
2023-01-02 15:00:00,4557.12,5357.12,5723.77,6991.31
2023-01-02 16:00:00,1530.03,2573.52,2785.13,3401.92
2023-01-02 17:00:00,0.0,484.87,583.1,712.26
2023-01-02 18:00:00,0.0,484.87,583.1,712.26
2023-01-02 19:00:00,0.0,484.87,583.1,712.26
2023-01-02 20:00:00,0.0,484.87,583.1,712.26
2023-01-02 21:00:00,0.0,484.87,583.1,712.26
2023-01-02 22:00:00,0.0,484.86,583.09,712.26
2023-01-02 23:00:00,0.0,484.86,583.09,712.25
2023-01-03 00:00:00,0.0,484.86,583.09,712.25
2023-01-03 01:00:00,0.0,484.86,583.09,712.25
2023-01-03 02:00:00,0.0,484.86,583.09,712.25
2023-01-03 03:00:00,0.0,484.86,583.09,712.25
2023-01-03 04:00:00,0.0,484.86,583.09,712.25
2023-01-03 05:00:00,0.0,484.86,583.09,712.25
2023-01-03 06:00:00,0.0,484.87,583.1,712.26
2023-01-03 07:00:00,0.0,484.87,583.1,712.26
2023-01-03 08:00:00,1498.52,2549.9,2760.67,3372.02
2023-01-03 09:00:00,7981.73,8133.55,8493.0,10373.73
2023-01-03 10:00:00,11477.27,10657.49,11148.49,13617.26
2023-01-03 11:00:00,13110.7,11838.52,12325.8,15055.28
2023-01-03 12:00:00,13633.01,12203.82,12722.84,15540.23
2023-01-03 13:00:00,13229.98,11884.89,12453.42,15211.16
2023-01-03 14:00:00,11398.89,10629.02,11155.5,13625.82
2023-01-03 15:00:00,8120.09,8224.39,8559.33,10454.75
2023-01-03 16:00:00,2894.97,3937.27,4154.28,5074.24
2023-01-03 17:00:00,0.0,484.87,583.1,712.26
2023-01-03 18:00:00,0.0,484.87,583.1,712.26
2023-01-03 19:00:00,0.0,484.87,583.1,712.26
2023-01-03 20:00:00,0.0,484.87,583.1,712.26
2023-01-03 21:00:00,0.0,484.87,583.1,712.26
2023-01-03 22:00:00,0.0,484.87,583.1,712.26
2023-01-03 23:00:00,0.0,484.87,583.1,712.26
2023-01-04 00:00:00,0.0,484.87,583.1,712.26
2023-01-04 01:00:00,0.0,484.87,583.1,712.26
2023-01-04 02:00:00,0.0,484.87,583.1,712.26
2023-01-04 03:00:00,0.0,484.87,583.1,712.26
2023-01-04 04:00:00,0.0,484.87,583.1,712.26
2023-01-04 05:00:00,0.0,484.87,583.1,712.26
2023-01-04 06:00:00,0.0,484.87,583.1,712.26
2023-01-04 07:00:00,0.0,484.87,583.1,712.26
2023-01-04 08:00:00,1524.34,2586.47,2794.19,3412.96
2023-01-04 09:00:00,8919.26,8824.14,9221.56,11263.62
2023-01-04 10:00:00,12418.08,11311.89,11848.56,14472.34
2023-01-04 11:00:00,13973.94,12451.24,12950.95,15818.85
