snapshot,value,value_q2q_v1,value_q2q_v2,value_q2q_v3
2020-01-01 00:00:00,413.63,636.25,657.38,809.08
2020-01-01 01:00:00,402.74,607.03,629.39,774.63
2020-01-01 02:00:00,403.49,621.02,645.04,793.89
2020-01-01 03:00:00,398.88,620.55,640.68,788.53
2020-01-01 04:00:00,366.56,579.39,599.66,738.04
2020-01-01 05:00:00,332.23,540.98,557.22,685.81
2020-01-01 06:00:00,277.3,483.61,496.7,611.32
2020-01-01 07:00:00,213.42,399.77,411.79,506.82
2020-01-01 08:00:00,153.04,305.1,312.7,384.85
2020-01-01 09:00:00,107.84,225.31,233.14,286.94
2020-01-01 10:00:00,66.5,147.35,151.47,186.42
2020-01-01 11:00:00,63.49,143.04,146.15,179.88
2020-01-01 12:00:00,65.47,145.06,148.72,183.04
2020-01-01 13:00:00,53.96,125.0,128.69,158.39
2020-01-01 14:00:00,40.67,103.68,108.15,133.11
2020-01-01 15:00:00,28.06,80.21,83.62,102.92
2020-01-01 16:00:00,21.5,69.34,69.7,85.78
2020-01-01 17:00:00,25.23,75.7,78.55,96.67
2020-01-01 18:00:00,29.24,83.45,86.11,105.98
2020-01-01 19:00:00,33.59,93.21,94.72,116.58
2020-01-01 20:00:00,34.8,95.26,98.01,120.62
2020-01-01 21:00:00,52.05,154.18,158.79,195.43
2020-01-01 22:00:00,147.56,400.66,415.0,510.77
2020-01-01 23:00:00,195.73,487.95,503.96,620.26
2020-01-02 00:00:00,274.09,620.83,638.95,786.4
2020-01-02 01:00:00,374.55,755.76,782.04,962.51
2020-01-02 02:00:00,522.03,951.87,977.9,1203.56
2020-01-02 03:00:00,645.38,1093.06,1123.74,1383.06
2020-01-02 04:00:00,742.41,1202.68,1240.61,1526.9
2020-01-02 05:00:00,832.65,1286.62,1330.65,1637.72
2020-01-02 06:00:00,985.66,1474.81,1524.23,1875.97
2020-01-02 07:00:00,1154.3,1681.81,1738.4,2139.56
2020-01-02 08:00:00,1289.11,1880.64,1942.94,2391.3
2020-01-02 09:00:00,1434.14,2009.92,2092.95,2575.93
2020-01-02 10:00:00,1234.68,1843.84,1903.94,2343.3
2020-01-02 11:00:00,1282.82,1722.96,1792.26,2205.85
2020-01-02 12:00:00,1391.0,1758.24,1832.41,2255.27
2020-01-02 13:00:00,1639.19,1928.94,2008.39,2471.86
2020-01-02 14:00:00,1967.07,2228.31,2288.97,2817.18
2020-01-02 15:00:00,1898.27,2227.64,2297.37,2827.53
2020-01-02 16:00:00,2120.71,2486.84,2549.67,3138.05
2020-01-02 17:00:00,2168.27,2596.91,2683.3,3302.51
2020-01-02 18:00:00,2234.71,2666.38,2775.19,3415.61
