snapshot,value,value_q2q_v1,value_q2q_v2,value_q2q_v3
2017-01-01 00:00:00,607.99,1360.03,1429.77,1907.57
2017-01-01 01:00:00,582.39,1321.05,1383.08,1845.27
2017-01-01 02:00:00,577.7,1326.21,1397.48,1864.49
2017-01-01 03:00:00,572.21,1323.51,1396.15,1862.71
2017-01-01 04:00:00,551.86,1273.61,1346.21,1796.08
2017-01-01 05:00:00,536.7,1277.62,1343.71,1792.75
2017-01-01 06:00:00,526.32,1269.7,1342.39,1790.99
2017-01-01 07:00:00,519.36,1305.21,1374.98,1834.46
2017-01-01 08:00:00,513.18,1342.15,1409.19,1880.11
2017-01-01 09:00:00,483.61,1320.99,1383.23,1845.47
2017-01-01 10:00:00,367.26,1120.23,1177.65,1571.19
2017-01-01 11:00:00,307.04,1015.65,1066.61,1423.05
2017-01-01 12:00:00,313.52,1034.76,1088.46,1452.2
2017-01-01 13:00:00,462.14,1302.06,1368.49,1825.81
2017-01-01 14:00:00,518.4,1391.69,1455.35,1941.69
2017-01-01 15:00:00,519.16,1390.34,1454.9,1941.09
2017-01-01 16:00:00,657.19,1580.7,1649.57,2200.82
2017-01-01 17:00:00,895.47,1893.26,1970.23,2628.64
2017-01-01 18:00:00,1203.47,2271.19,2358.94,3147.26
2017-01-01 19:00:00,1414.55,2461.01,2569.59,3428.29
2017-01-01 20:00:00,1705.89,2721.37,2845.81,3796.82
2017-01-01 21:00:00,2065.03,3093.83,3231.55,4311.47
2017-01-01 22:00:00,2469.31,3562.8,3713.13,4953.99
2017-01-01 23:00:00,2560.58,3693.87,3856.65,5145.46
2017-01-02 00:00:00,2715.79,3793.71,3972.28,5299.74
2017-01-02 01:00:00,2712.82,3738.99,3913.0,5220.65
2017-01-02 02:00:00,2757.07,3786.93,3965.46,5290.64
2017-01-02 03:00:00,2801.19,3869.71,4052.29,5406.49
2017-01-02 04:00:00,2813.13,3865.55,4039.79,5389.81
2017-01-02 05:00:00,2885.09,3922.58,4110.86,5484.63
