snapshot,value
2018-01-01 00:00:00,11787.78
2018-01-01 01:00:00,11568.82
2018-01-01 02:00:00,11555.64
2018-01-01 03:00:00,11010.78
2018-01-01 04:00:00,10647.81
2018-01-01 05:00:00,10245.75
2018-01-01 06:00:00,10083.81
2018-01-01 07:00:00,10350.45
2018-01-01 08:00:00,10603.04
2018-01-01 09:00:00,10670.08
2018-01-01 10:00:00,10997.24
2018-01-01 11:00:00,12060.75
2018-01-01 12:00:00,13261.76
2018-01-01 13:00:00,14262.08
2018-01-01 14:00:00,14731.99
2018-01-01 15:00:00,14400.53
2018-01-01 16:00:00,14166.58
2018-01-01 17:00:00,14048.57
2018-01-01 18:00:00,13500.14
2018-01-01 19:00:00,12859.9
2018-01-01 20:00:00,12484.73
2018-01-01 21:00:00,12144.25
2018-01-01 22:00:00,10849.44
2018-01-01 23:00:00,11009.66
2018-01-02 00:00:00,10838.42
2018-01-02 01:00:00,10751.21
2018-01-02 02:00:00,10360.9
2018-01-02 03:00:00,10263.57
2018-01-02 04:00:00,10314.19
2018-01-02 05:00:00,10322.19
2018-01-02 06:00:00,10192.98
2018-01-02 07:00:00,10232.08
2018-01-02 08:00:00,10084.15
2018-01-02 09:00:00,9303.0
2018-01-02 10:00:00,8313.82
2018-01-02 11:00:00,8947.37
2018-01-02 12:00:00,9078.49
2018-01-02 13:00:00,9350.8
2018-01-02 14:00:00,9793.29
2018-01-02 15:00:00,9849.65
2018-01-02 16:00:00,8913.04
2018-01-02 17:00:00,9252.77
2018-01-02 18:00:00,9627.42
2018-01-02 19:00:00,9903.51
2018-01-02 20:00:00,10154.26
2018-01-02 21:00:00,10282.15
2018-01-02 22:00:00,10050.94
2018-01-02 23:00:00,9883.31
2018-01-03 00:00:00,9792.04
2018-01-03 01:00:00,9757.53
2018-01-03 02:00:00,9724.11
2018-01-03 03:00:00,9330.96
2018-01-03 04:00:00,9187.63
2018-01-03 05:00:00,8965.5
2018-01-03 06:00:00,8665.81
2018-01-03 07:00:00,8408.65
2018-01-03 08:00:00,8128.62
2018-01-03 09:00:00,7879.91
2018-01-03 10:00:00,7101.28
2018-01-03 11:00:00,8030.9
2018-01-03 12:00:00,8972.17
2018-01-03 13:00:00,9946.27
2018-01-03 14:00:00,10258.41
2018-01-03 15:00:00,9830.93
2018-01-03 16:00:00,8929.73
2018-01-03 17:00:00,9034.09
2018-01-03 18:00:00,9078.38
2018-01-03 19:00:00,9135.61
2018-01-03 20:00:00,9427.14
2018-01-03 21:00:00,9727.44
2018-01-03 22:00:00,8868.4
2018-01-03 23:00:00,9347.74
2018-01-04 00:00:00,9536.34
2018-01-04 01:00:00,9685.91
2018-01-04 02:00:00,9729.09
2018-01-04 03:00:00,9621.76
2018-01-04 04:00:00,9560.6
2018-01-04 05:00:00,9723.91
2018-01-04 06:00:00,9604.48
2018-01-04 07:00:00,9716.08
2018-01-04 08:00:00,9668.0
2018-01-04 09:00:00,9557.64
2018-01-04 10:00:00,9363.22
2018-01-04 11:00:00,9841.69
2018-01-04 12:00:00,10127.53
2018-01-04 13:00:00,10598.86
2018-01-04 14:00:00,10586.22
2018-01-04 15:00:00,10162.06
2018-01-04 16:00:00,9755.73
2018-01-04 17:00:00,10048.2
2018-01-04 18:00:00,10610.14
2018-01-04 19:00:00,10901.19
2018-01-04 20:00:00,11080.34
2018-01-04 21:00:00,11058.43
2018-01-04 22:00:00,10952.59
2018-01-04 23:00:00,10803.91
2018-01-05 00:00:00,10869.57
2018-01-05 01:00:00,11102.9
2018-01-05 02:00:00,11082.03
2018-01-05 03:00:00,10649.1
2018-01-05 04:00:00,9658.52
2018-01-05 05:00:00,9071.38
2018-01-05 06:00:00,8670.81
2018-01-05 07:00:00,8468.93
2018-01-05 08:00:00,8357.65
2018-01-05 09:00:00,8451.52
2018-01-05 10:00:00,7939.24
2018-01-05 11:00:00,8935.79
2018-01-05 12:00:00,8860.28
2018-01-05 13:00:00,8386.29
2018-01-05 14:00:00,7640.9
2018-01-05 15:00:00,6890.87
2018-01-05 16:00:00,5513.05
2018-01-05 17:00:00,4760.35
2018-01-05 18:00:00,4190.1
2018-01-05 19:00:00,3841.58
2018-01-05 20:00:00,3447.25
2018-01-05 21:00:00,3135.49
2018-01-05 22:00:00,2764.26
2018-01-05 23:00:00,2566.61
2018-01-06 00:00:00,2254.85
2018-01-06 01:00:00,2127.29
2018-01-06 02:00:00,2121.12
2018-01-06 03:00:00,1932.86
2018-01-06 04:00:00,1995.23
2018-01-06 05:00:00,2271.99
2018-01-06 06:00:00,2401.33
2018-01-06 07:00:00,2441.71
2018-01-06 08:00:00,2599.3
2018-01-06 09:00:00,2934.84
2018-01-06 10:00:00,2697.02
2018-01-06 11:00:00,2881.32
2018-01-06 12:00:00,3464.46
2018-01-06 13:00:00,4506.31
2018-01-06 14:00:00,5030.64
2018-01-06 15:00:00,5613.87
2018-01-06 16:00:00,5816.23
2018-01-06 17:00:00,6063.73
2018-01-06 18:00:00,6571.27
2018-01-06 19:00:00,7541.22
2018-01-06 20:00:00,8087.63
2018-01-06 21:00:00,8262.9
2018-01-06 22:00:00,6993.61
2018-01-06 23:00:00,7004.98
2018-01-07 00:00:00,6821.8
2018-01-07 01:00:00,6330.76
2018-01-07 02:00:00,5993.73
2018-01-07 03:00:00,6027.86
2018-01-07 04:00:00,6064.77
2018-01-07 05:00:00,6028.77
2018-01-07 06:00:00,5736.87
2018-01-07 07:00:00,5438.74
2018-01-07 08:00:00,5245.72
2018-01-07 09:00:00,5066.71
