snapshot,value,value_q2q_v1,value_q2q_v2,value_q2q_v3
2023-01-01 00:00:00,0.0,466.25,554.91,684.86
2023-01-01 01:00:00,0.0,466.25,554.91,684.86
2023-01-01 02:00:00,0.0,466.25,554.91,684.86
2023-01-01 03:00:00,0.0,466.25,554.91,684.86
2023-01-01 04:00:00,0.0,466.25,554.91,684.86
2023-01-01 05:00:00,0.0,466.25,554.91,684.86
2023-01-01 06:00:00,0.0,466.25,554.91,684.86
2023-01-01 07:00:00,0.0,466.25,554.91,684.86
2023-01-01 08:00:00,1520.68,2549.79,2740.29,3382.01
2023-01-01 09:00:00,6031.27,6421.7,6681.51,8246.17
2023-01-01 10:00:00,8409.87,8268.81,8633.62,10655.41
2023-01-01 11:00:00,10648.4,9898.24,10374.36,12803.79
2023-01-01 12:00:00,11960.1,10893.19,11327.06,13979.59
2023-01-01 13:00:00,11043.02,10281.39,10662.08,13158.89
2023-01-01 14:00:00,8389.86,8321.65,8770.72,10824.62
2023-01-01 15:00:00,5398.08,6047.89,6411.03,7912.34
2023-01-01 16:00:00,1641.79,2706.91,2891.22,3568.28
2023-01-01 17:00:00,0.0,466.25,554.91,684.86
2023-01-01 18:00:00,0.0,466.25,554.91,684.86
2023-01-01 19:00:00,0.0,466.25,554.91,684.86
2023-01-01 20:00:00,0.0,466.25,554.91,684.86
2023-01-01 21:00:00,0.0,466.25,554.91,684.86
2023-01-01 22:00:00,0.0,466.25,554.91,684.86
2023-01-01 23:00:00,0.0,466.25,554.91,684.86
2023-01-02 00:00:00,0.0,466.25,554.91,684.86
2023-01-02 01:00:00,0.0,466.25,554.91,684.86
2023-01-02 02:00:00,0.0,466.25,554.91,684.86
2023-01-02 03:00:00,0.0,466.25,554.91,684.86
2023-01-02 04:00:00,0.0,466.25,554.91,684.86
2023-01-02 05:00:00,0.0,466.25,554.91,684.86
2023-01-02 06:00:00,0.0,466.25,554.91,684.86
2023-01-02 07:00:00,0.0,466.25,554.91,684.86
2023-01-02 08:00:00,1090.83,2064.14,2252.8,2780.35
2023-01-02 09:00:00,4935.04,5596.03,5955.6,7350.26
2023-01-02 10:00:00,7200.08,7414.45,7726.45,9535.81
2023-01-02 11:00:00,8383.54,8282.79,8658.59,10686.23
2023-01-02 12:00:00,8690.21,8535.29,8912.18,10999.2
2023-01-02 13:00:00,7970.51,8017.22,8389.54,10354.18
2023-01-02 14:00:00,6311.31,6733.34,6992.17,8629.57
2023-01-02 15:00:00,4486.08,5269.64,5612.65,6927.0
2023-01-02 16:00:00,1466.3,2496.95,2698.08,3329.91
2023-01-02 17:00:00,0.0,466.25,554.91,684.86
2023-01-02 18:00:00,0.0,466.25,554.91,684.86
2023-01-02 19:00:00,0.0,466.25,554.91,684.86
2023-01-02 20:00:00,0.0,466.25,554.91,684.86
2023-01-02 21:00:00,0.0,466.25,554.91,684.86
2023-01-02 22:00:00,0.0,466.25,554.91,684.86
2023-01-02 23:00:00,0.0,466.25,554.91,684.86
2023-01-03 00:00:00,0.0,466.25,554.91,684.86
