snapshot,value
2019-01-01 00:00:00,0.0
2019-01-01 01:00:00,0.0
2019-01-01 02:00:00,0.0
2019-01-01 03:00:00,0.0
2019-01-01 04:00:00,0.0
2019-01-01 05:00:00,0.0
2019-01-01 06:00:00,0.0
2019-01-01 07:00:00,0.0
2019-01-01 08:00:00,46.51
2019-01-01 09:00:00,1657.6
2019-01-01 10:00:00,2977.68
2019-01-01 11:00:00,3845.75
2019-01-01 12:00:00,4292.13
2019-01-01 13:00:00,4355.29
2019-01-01 14:00:00,4064.5
2019-01-01 15:00:00,3374.17
2019-01-01 16:00:00,2274.91
2019-01-01 17:00:00,918.05
2019-01-01 18:00:00,0.0
2019-01-01 19:00:00,0.0
2019-01-01 20:00:00,0.0
2019-01-01 21:00:00,0.0
2019-01-01 22:00:00,0.0
2019-01-01 23:00:00,0.0
2019-01-02 00:00:00,0.0
2019-01-02 01:00:00,0.0
2019-01-02 02:00:00,0.0
2019-01-02 03:00:00,0.0
2019-01-02 04:00:00,0.0
2019-01-02 05:00:00,0.0
2019-01-02 06:00:00,0.0
2019-01-02 07:00:00,0.0
2019-01-02 08:00:00,47.3
2019-01-02 09:00:00,1578.45
2019-01-02 10:00:00,2821.29
2019-01-02 11:00:00,3655.19
2019-01-02 12:00:00,4151.62
2019-01-02 13:00:00,4279.83
2019-01-02 14:00:00,3992.27
2019-01-02 15:00:00,3361.44
2019-01-02 16:00:00,2280.31
2019-01-02 17:00:00,931.14
2019-01-02 18:00:00,0.0
2019-01-02 19:00:00,0.0
2019-01-02 20:00:00,0.0
2019-01-02 21:00:00,0.0
2019-01-02 22:00:00,0.0
2019-01-02 23:00:00,0.0
2019-01-03 00:00:00,0.0
2019-01-03 01:00:00,0.0
2019-01-03 02:00:00,0.0
2019-01-03 03:00:00,0.0
2019-01-03 04:00:00,0.0
2019-01-03 05:00:00,0.0
2019-01-03 06:00:00,0.0
2019-01-03 07:00:00,0.0
2019-01-03 08:00:00,35.05
2019-01-03 09:00:00,1450.89
2019-01-03 10:00:00,2646.97
2019-01-03 11:00:00,3552.68
2019-01-03 12:00:00,3925.38
2019-01-03 13:00:00,3969.24
2019-01-03 14:00:00,3587.11
2019-01-03 15:00:00,2958.21
2019-01-03 16:00:00,1897.18
2019-01-03 17:00:00,749.26
2019-01-03 18:00:00,0.0
2019-01-03 19:00:00,0.0
2019-01-03 20:00:00,0.0
2019-01-03 21:00:00,0.0
2019-01-03 22:00:00,0.0
2019-01-03 23:00:00,0.0
2019-01-04 00:00:00,0.0
2019-01-04 01:00:00,0.0
2019-01-04 02:00:00,0.0
2019-01-04 03:00:00,0.0
2019-01-04 04:00:00,0.0
2019-01-04 05:00:00,0.0
2019-01-04 06:00:00,0.0
2019-01-04 07:00:00,0.0
2019-01-04 08:00:00,32.56
2019-01-04 09:00:00,1469.7
2019-01-04 10:00:00,2733.28
2019-01-04 11:00:00,3804.86
2019-01-04 12:00:00,4302.25
2019-01-04 13:00:00,4372.15
2019-01-04 14:00:00,4089.52
2019-01-04 15:00:00,3436.88
2019-01-04 16:00:00,2349.14
2019-01-04 17:00:00,981.35
2019-01-04 18:00:00,0.0
2019-01-04 19:00:00,0.0
2019-01-04 20:00:00,0.0
2019-01-04 21:00:00,0.0
2019-01-04 22:00:00,0.0
2019-01-04 23:00:00,0.0
2019-01-05 00:00:00,0.0
2019-01-05 01:00:00,0.0
2019-01-05 02:00:00,0.0
2019-01-05 03:00:00,0.0
2019-01-05 04:00:00,0.0
2019-01-05 05:00:00,0.0
2019-01-05 06:00:00,0.0
2019-01-05 07:00:00,0.0
2019-01-05 08:00:00,41.68
2019-01-05 09:00:00,1641.48
2019-01-05 10:00:00,2975.76
2019-01-05 11:00:00,3890.46
2019-01-05 12:00:00,4397.66
2019-01-05 13:00:00,4478.31
2019-01-05 14:00:00,4170.2
2019-01-05 15:00:00,3489.37
2019-01-05 16:00:00,2396.3
2019-01-05 17:00:00,1020.75
2019-01-05 18:00:00,0.0
2019-01-05 19:00:00,0.0
2019-01-05 20:00:00,0.0
2019-01-05 21:00:00,0.0
2019-01-05 22:00:00,0.0
2019-01-05 23:00:00,0.0
2019-01-06 00:00:00,0.0
2019-01-06 01:00:00,0.0
2019-01-06 02:00:00,0.0
2019-01-06 03:00:00,0.0
2019-01-06 04:00:00,0.0
2019-01-06 05:00:00,0.0
2019-01-06 06:00:00,0.0
2019-01-06 07:00:00,0.0
2019-01-06 08:00:00,45.78
2019-01-06 09:00:00,1661.58
2019-01-06 10:00:00,2952.49
2019-01-06 11:00:00,3859.09
2019-01-06 12:00:00,4360.34
2019-01-06 13:00:00,4455.22
2019-01-06 14:00:00,4166.97
2019-01-06 15:00:00,3508.24
2019-01-06 16:00:00,2430.99
2019-01-06 17:00:00,1050.0
2019-01-06 18:00:00,0.0
2019-01-06 19:00:00,0.0
2019-01-06 20:00:00,0.0
2019-01-06 21:00:00,0.0
2019-01-06 22:00:00,0.0
2019-01-06 23:00:00,0.0
2019-01-07 00:00:00,0.0
2019-01-07 01:00:00,0.0
2019-01-07 02:00:00,0.0
2019-01-07 03:00:00,0.0
2019-01-07 04:00:00,0.0
2019-01-07 05:00:00,0.0
2019-01-07 06:00:00,0.0
2019-01-07 07:00:00,0.0
2019-01-07 08:00:00,42.48
2019-01-07 09:00:00,1563.74
2019-01-07 10:00:00,2876.75
2019-01-07 11:00:00,3789.49
2019-01-07 12:00:00,4289.92
2019-01-07 13:00:00,4386.83
2019-01-07 14:00:00,4104.06
2019-01-07 15:00:00,3441.55
2019-01-07 16:00:00,2382.31
2019-01-07 17:00:00,1037.57
2019-01-07 18:00:00,0.0
2019-01-07 19:00:00,0.0
2019-01-07 20:00:00,0.0
2019-01-07 21:00:00,0.0
2019-01-07 22:00:00,0.0
2019-01-07 23:00:00,0.0
2019-01-08 00:00:00,0.0
2019-01-08 01:00:00,0.0
2019-01-08 02:00:00,0.0
2019-01-08 03:00:00,0.0
2019-01-08 04:00:00,0.0
2019-01-08 05:00:00,0.0
2019-01-08 06:00:00,0.0
2019-01-08 07:00:00,0.0
2019-01-08 08:00:00,37.42
2019-01-08 09:00:00,1477.04
2019-01-08 10:00:00,2700.57
2019-01-08 11:00:00,3658.74
2019-01-08 12:00:00,4202.7
2019-01-08 13:00:00,4302.61
2019-01-08 14:00:00,4033.27
2019-01-08 15:00:00,3382.23
2019-01-08 16:00:00,2343.55
2019-01-08 17:00:00,1009.03
2019-01-08 18:00:00,0.0
2019-01-08 19:00:00,0.0
2019-01-08 20:00:00,0.0
2019-01-08 21:00:00,0.0
2019-01-08 22:00:00,0.0
2019-01-08 23:00:00,0.0
2019-01-09 00:00:00,0.0
2019-01-09 01:00:00,0.0
2019-01-09 02:00:00,0.0
2019-01-09 03:00:00,0.0
2019-01-09 04:00:00,0.0
2019-01-09 05:00:00,0.0
2019-01-09 06:00:00,0.0
2019-01-09 07:00:00,0.0
2019-01-09 08:00:00,44.62
2019-01-09 09:00:00,1400.16
2019-01-09 10:00:00,2573.92
2019-01-09 11:00:00,3430.11
2019-01-09 12:00:00,3861.35
2019-01-09 13:00:00,4007.51
2019-01-09 14:00:00,3812.23
2019-01-09 15:00:00,3263.13
2019-01-09 16:00:00,2236.14
2019-01-09 17:00:00,1016.57
2019-01-09 18:00:00,0.0
2019-01-09 19:00:00,0.0
2019-01-09 20:00:00,0.0
2019-01-09 21:00:00,0.0
2019-01-09 22:00:00,0.0
2019-01-09 23:00:00,0.0
2019-01-10 00:00:00,0.0
2019-01-10 01:00:00,0.0
2019-01-10 02:00:00,0.0
2019-01-10 03:00:00,0.0
2019-01-10 04:00:00,0.0
2019-01-10 05:00:00,0.0
2019-01-10 06:00:00,0.0
2019-01-10 07:00:00,0.0
2019-01-10 08:00:00,43.27
2019-01-10 09:00:00,1488.74
2019-01-10 10:00:00,2767.59
2019-01-10 11:00:00,3676.72
2019-01-10 12:00:00,4188.22
2019-01-10 13:00:00,4329.07
2019-01-10 14:00:00,4088.99
2019-01-10 15:00:00,3429.4
2019-01-10 16:00:00,2432.09
2019-01-10 17:00:00,1112.9
2019-01-10 18:00:00,0.0
2019-01-10 19:00:00,0.0
2019-01-10 20:00:00,0.0
2019-01-10 21:00:00,0.0
2019-01-10 22:00:00,0.0
2019-01-10 23:00:00,0.0
2019-01-11 00:00:00,0.0
2019-01-11 01:00:00,0.0
2019-01-11 02:00:00,0.0
2019-01-11 03:00:00,0.0
2019-01-11 04:00:00,0.0
2019-01-11 05:00:00,0.0
2019-01-11 06:00:00,0.0
2019-01-11 07:00:00,0.0
2019-01-11 08:00:00,66.06
2019-01-11 09:00:00,1577.84
2019-01-11 10:00:00,2862.08
2019-01-11 11:00:00,3724.03
2019-01-11 12:00:00,4175.5
2019-01-11 13:00:00,4271.09
2019-01-11 14:00:00,3972.73
2019-01-11 15:00:00,3332.07
2019-01-11 16:00:00,2310.48
2019-01-11 17:00:00,1027.61
2019-01-11 18:00:00,0.0
2019-01-11 19:00:00,0.0
2019-01-11 20:00:00,0.0
2019-01-11 21:00:00,0.0
2019-01-11 22:00:00,0.0
2019-01-11 23:00:00,0.0
2019-01-12 00:00:00,0.0
2019-01-12 01:00:00,0.0
2019-01-12 02:00:00,0.0
2019-01-12 03:00:00,0.0
2019-01-12 04:00:00,0.0
2019-01-12 05:00:00,0.0
2019-01-12 06:00:00,0.0
2019-01-12 07:00:00,0.0
2019-01-12 08:00:00,62.11
2019-01-12 09:00:00,1509.7
2019-01-12 10:00:00,2747.75
2019-01-12 11:00:00,3647.55
2019-01-12 12:00:00,4093.48
2019-01-12 13:00:00,4164.44
2019-01-12 14:00:00,3922.7
2019-01-12 15:00:00,3290.96
2019-01-12 16:00:00,2304.12
