snapshot,value,value_q2q_v1,value_q2q_v2,value_q2q_v3
2021-01-01 00:00:00,0.0,0.0,0.0,142.2
2021-01-01 01:00:00,0.0,0.0,0.0,142.2
2021-01-01 02:00:00,0.0,0.0,0.0,142.2
2021-01-01 03:00:00,0.0,0.0,0.0,142.2
2021-01-01 04:00:00,0.0,0.0,0.0,142.2
2021-01-01 05:00:00,0.0,0.0,0.0,142.2
2021-01-01 06:00:00,0.0,0.0,0.0,142.2
2021-01-01 07:00:00,0.0,0.0,0.0,142.2
2021-01-01 08:00:00,24.01,29.63,29.97,171.85
2021-01-01 09:00:00,2329.48,2455.54,2482.95,2913.47
2021-01-01 10:00:00,4974.02,4803.34,4965.11,5825.95
2021-01-01 11:00:00,6614.96,6220.94,6318.74,7414.27
2021-01-01 12:00:00,7513.5,7016.81,7100.16,8331.17
2021-01-01 13:00:00,7692.02,7164.26,7277.25,8538.96
2021-01-01 14:00:00,6603.76,6220.57,6330.87,7428.51
2021-01-01 15:00:00,4961.86,4801.91,4938.49,5794.72
2021-01-01 16:00:00,3560.84,3621.37,3708.35,4351.29
2021-01-01 17:00:00,1509.48,1631.99,1696.93,1997.38
2021-01-01 18:00:00,0.0,0.0,0.0,142.2
2021-01-01 19:00:00,0.0,0.0,0.0,142.2
2021-01-01 20:00:00,0.0,0.0,0.0,142.2
2021-01-01 21:00:00,0.0,0.0,0.0,142.2
2021-01-01 22:00:00,0.0,0.0,0.0,142.2
2021-01-01 23:00:00,0.0,0.0,0.0,142.2
2021-01-02 00:00:00,0.0,0.0,0.0,142.2
2021-01-02 01:00:00,0.0,0.0,0.0,142.2
2021-01-02 02:00:00,0.0,0.0,0.0,142.2
2021-01-02 03:00:00,0.0,0.0,0.0,142.2
2021-01-02 04:00:00,0.0,0.0,0.0,142.2
2021-01-02 05:00:00,0.0,0.0,0.0,142.2
2021-01-02 06:00:00,0.0,0.0,0.0,142.2
2021-01-02 07:00:00,0.0,0.0,0.0,142.2
2021-01-02 08:00:00,31.98,38.15,39.43,183.18
2021-01-02 09:00:00,2755.45,2864.04,2910.99,3415.69
2021-01-02 10:00:00,5111.02,4907.84,5021.81,5892.48
2021-01-02 11:00:00,7051.12,6625.57,6705.98,7868.64
2021-01-02 12:00:00,8136.28,7555.24,7685.39,9017.87
2021-01-02 13:00:00,8339.28,7715.55,7863.25,9226.56
2021-01-02 14:00:00,7825.07,7285.11,7395.23,8677.4
2021-01-02 15:00:00,6497.46,6132.33,6233.12,7313.81
2021-01-02 16:00:00,4428.5,4331.25,4455.7,5228.22
2021-01-02 17:00:00,1919.39,2043.78,2090.48,2455.62
2021-01-02 18:00:00,0.0,0.0,0.0,142.2
2021-01-02 19:00:00,0.0,0.0,0.0,142.2
2021-01-02 20:00:00,0.0,0.0,0.0,142.2
2021-01-02 21:00:00,0.0,0.0,0.0,142.2
2021-01-02 22:00:00,0.0,0.0,0.0,142.2
2021-01-02 23:00:00,0.0,0.0,0.0,142.2
2021-01-03 00:00:00,0.0,0.0,0.0,142.2
2021-01-03 01:00:00,0.0,0.0,0.0,142.2
2021-01-03 02:00:00,0.0,0.0,0.0,142.2
2021-01-03 03:00:00,0.0,0.0,0.0,142.2
2021-01-03 04:00:00,0.0,0.0,0.0,142.2
2021-01-03 05:00:00,0.0,0.0,0.0,142.2
2021-01-03 06:00:00,0.0,0.0,0.0,142.2
2021-01-03 07:00:00,0.0,0.0,0.0,142.2
2021-01-03 08:00:00,15.27,20.0,20.61,160.87
2021-01-03 09:00:00,3142.15,3242.16,3298.98,3870.95
2021-01-03 10:00:00,5918.7,5603.72,5724.08,6716.51
